,source_sentence,gold,pred,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold,source_sent_list,new_pred_sentences,new_src_sentence
5146,"In namespaces where subpages are supported , you can for instance create a subpage simply by linking to the name of the subpage , prefixed with a slash -LRB- e.g. \/O/ Archive -RRB- .","In namespaces where subpages are supported , you can create a subpage simply by linking to the name of the subpage , prefixed with a slash -LRB- e.g. \/O/ Archive -RRB- .","In namespaces where subpages are supported , you can for instance create a subpage simply by linking to the name of the subpage , prefixed with a slash -LRB- e.g.",5146,0.757988996,0.997670054,-0.378655374,0.811957189,0.999645889,-0.59105736,"['In', 'namespaces', 'where', 'subpages', 'are', 'supported', ',', 'you', 'can', 'for', 'instance', 'create', 'a', 'subpage', 'simply', 'by', 'linking', 'to', 'the', 'name', 'of', 'the', 'subpage', ',', 'prefixed', 'with', 'a', 'slash', '-LRB-', 'e.g.', '\\/O/', 'Archive', '-RRB-', '.']",In namespaces where subpages are supported you can for instance create a subpage simply by linking to the name of the subpage prefixed with a slash LRB e g,In namespaces where subpages are supported you can for instance create a subpage simply by linking to the name of the subpage prefixed with a slash LRB e g O Archive RRB
5149,"Solutions to Schrödinger 's equation describe not only molecular , atomic and subatomic systems , but also macroscopic systems , possibly even the whole universe .",x is a place in space,"Solutions to Schrdinger 's equation describe not only molecular , atomic and subatomic systems , but also macroscopic systems , possibly even the whole universe .",5149,0.94208543,0.958224177,-1.017452955,0.742311108,0.000156659,-6.003880978,"['Solutions', 'to', 'Schrödinger', ""'s"", 'equation', 'describe', 'not', 'only', 'molecular', ',', 'atomic', 'and', 'subatomic', 'systems', ',', 'but', 'also', 'macroscopic', 'systems', ',', 'possibly', 'even', 'the', 'whole', 'universe', '.']",Solutions to Schrdinger s equation describe not only molecular atomic and subatomic systems but also macroscopic systems possibly even the whole universe,Solutions to Schr dinger s equation describe not only molecular atomic and subatomic systems but also macroscopic systems possibly even the whole universe
5152,NUMBER@1 & ndash ; Grand Duchess PERSON@1 of LOCATION@1 -LRB- d. NUMBER@2 -RRB-,"NUMBER@3 - PERSON@2 , American businessman",NUMBER@1 & ndash ; Grand Duchess PERSON@1 of LOCATION@1 -LRB- d.,5152,0.740687358,0.976906717,-0.44863981,0.76806417,0.213368699,-5.912506104,"['NUMBER@1', '&', 'ndash', ';', 'Grand', 'Duchess', 'PERSON@1', 'of', 'LOCATION@1', '-LRB-', 'd.', 'NUMBER@2', '-RRB-']",NUMBER@1 ndash Grand Duchess PERSON@1 of LOCATION@1 LRB d,NUMBER@1 ndash Grand Duchess PERSON@1 of LOCATION@1 LRB d NUMBER@2 RRB
5156,Coral Sea Islands,"They are located in the Coral Sea , northeast of Queensland .",Coral Sea Islands Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands,5156,0.99999994,0.0,-0.656911314,0.836535335,0.011520729,-4.539262295,"['Coral', 'Sea', 'Islands']",Coral Sea Islands Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands The Coral Sea Islands,Coral Sea Islands
5160,'' Brain damage '' or '' brain injury '' -LRB- BI -RRB- is the destruction or degeneration of brain cells .,"Brain damage is damage to the brain from either illnesses or injuries . Brain cells are damaged , which often affects one 's brain in a way that stops the brain from thinking or reacting the same way as it did before the brain was damaged .",Brain damage is the destruction or degeneration of brain cells .,5160,0.52367148,0.997560263,-1.041716218,0.782703738,0.999546826,-3.374984741,"[""''"", 'Brain', 'damage', ""''"", 'or', ""''"", 'brain', 'injury', ""''"", '-LRB-', 'BI', '-RRB-', 'is', 'the', 'destruction', 'or', 'degeneration', 'of', 'brain', 'cells', '.']",Brain damage is the destruction or degeneration of brain cells,Brain damage or brain injury LRB BI RRB is the destruction or degeneration of brain cells
5163,PERSON@1 as Jaq\/The Grand Duke\/The Bishop,PERSON@1 as Jaq\/Grand Duke\/Bishop,PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The Bishop PERSON@1 as Jaq/The Grand Duke/The,5163,0.93410176,0.0,-0.5560112,0.904924005,0.934005857,-4.691254139,"['PERSON@1', 'as', 'Jaq\\/The', 'Grand', 'Duke\\/The', 'Bishop']",PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The Bishop PERSON@1 as Jaq The Grand Duke The,PERSON@1 as Jaq The Grand Duke The Bishop
5179,501 BC -- Confucius is appointed governor of Chung-tu .,501 BC - Confucius is made governor of Chung-tu .,Confucius is appointed governor of Chung-tu .,5179,0.800716834,0.998496711,-1.159428716,0.881844578,0.729782104,-1.9734478,"['501', 'BC', '--', 'Confucius', 'is', 'appointed', 'governor', 'of', 'Chung-tu', '.']",Confucius is appointed governor of Chung tu,501 BC Confucius is appointed governor of Chung tu
5190,'' Unwritten '' is a song by English singer PERSON@1 .,"Unwritten is a NUMBER@1 single by singer PERSON@1 , although the song was not released in the LOCATION@1 until NUMBER@2 . The song is from her debut record , also titled Unwritten .",It is a song by English singer PERSON@1 .,5190,0.725723847,0.833028793,-1.338507175,0.828125649,0.216009945,-3.76898098,"[""''"", 'Unwritten', ""''"", 'is', 'a', 'song', 'by', 'English', 'singer', 'PERSON@1', '.']",It is a song by English singer PERSON@1,Unwritten is a song by English singer PERSON@1
5193,"By Topic Arts and Sciences Diophantus writes Arithmetica , the first systematic treatise on algebra .",Events Diophantus writes Arithmetica the first systematic treatise on algebra .,"Diophantus writes Arithmetica , the first systematic treatise on algebra .",5193,0.716066468,0.999468148,-0.585733235,0.906054417,0.838007271,-1.666970968,"['By', 'Topic', 'Arts', 'and', 'Sciences', 'Diophantus', 'writes', 'Arithmetica', ',', 'the', 'first', 'systematic', 'treatise', 'on', 'algebra', '.']",Diophantus writes Arithmetica the first systematic treatise on algebra,By Topic Arts and Sciences Diophantus writes Arithmetica the first systematic treatise on algebra
5206,Boys Like Girls is the eponymous debut album from the band Boys Like Girls .,Boys Like Girls is the debut hit album released in NUMBER@1 by rock band ORGANIZATION@1 .,Boys Like Girls is the debut album from the band Boys Like Girls .,5206,0.803648142,0.996305764,-0.768046439,0.651700321,0.993823647,-4.04262352,"['Boys', 'Like', 'Girls', 'is', 'the', 'eponymous', 'debut', 'album', 'from', 'the', 'band', 'Boys', 'Like', 'Girls', '.']",Boys Like Girls is the debut album from the band Boys Like Girls,Boys Like Girls is the eponymous debut album from the band Boys Like Girls
5211,"An Acherontia styx pupa found in the soft palate of a murder victim is a vital clue in the thriller novel The Silence of the Lambs . In the movie version , however , while the script still refers to styx , the species depicted is Acherontia atropos .","An Acherontia styx pupa found in the soft palate of a murder victim is a vital clue in the thriller novel The Silence of the Lambs ; in the movie version , however , while the script still refers to styx , the species used is Acherontia atropos .","In the movie version , however , while the script still refers to styx , the species depicted is Acherontia atropos .",5211,0.419403525,0.999851584,-0.577187657,0.882649256,0.996799946,-0.750076294,"['An', 'Acherontia', 'styx', 'pupa', 'found', 'in', 'the', 'soft', 'palate', 'of', 'a', 'murder', 'victim', 'is', 'a', 'vital', 'clue', 'in', 'the', 'thriller', 'novel', 'The', 'Silence', 'of', 'the', 'Lambs', '.', 'In', 'the', 'movie', 'version', ',', 'however', ',', 'while', 'the', 'script', 'still', 'refers', 'to', 'styx', ',', 'the', 'species', 'depicted', 'is', 'Acherontia', 'atropos', '.']",In the movie version however while the script still refers to styx the species depicted is Acherontia atropos,An Acherontia styx pupa found in the soft palate of a murder victim is a vital clue in the thriller novel The Silence of the Lambs In the movie version however while the script still refers to styx the species depicted is Acherontia atropos
5213,dec =,"Canopus , or Alpha Carinae in the Bayer designation system is the brightest star in its constellation -LRB- Canopus -RRB- and the brightest star in the southern night sky .",#NAME?,5213,0.82838881,0.0,-6.396192074,0.782940507,0.131428346,-5.787117958,"['dec', '=']",NAME,dec
5215,"This is caused by its low taxes , its central location between Zürich and Milan , and its beautiful countryside .","This is caused by its low taxes , its central location between Zürich and Milan , and the pretty countryside .","This is caused by its low taxes , its central location between Zrich and Milan , and its beautiful countryside .",5215,0.943329246,0.894421041,-0.844825208,0.973759011,0.934655547,-1.223782063,"['This', 'is', 'caused', 'by', 'its', 'low', 'taxes', ',', 'its', 'central', 'location', 'between', 'Zürich', 'and', 'Milan', ',', 'and', 'its', 'beautiful', 'countryside', '.']",This is caused by its low taxes its central location between Zrich and Milan and its beautiful countryside,This is caused by its low taxes its central location between Z rich and Milan and its beautiful countryside
5256,"Nicky Hofs -LRB- born May 17 , 1983 , in Arnhem -RRB- is a Dutch football midfielder , who currently plays for AEL Limassol .",Nicky Hofs -LRB- born 17 May 1983 -RRB- is a Dutch football player .,"Nicky Hofs -LRB- born May 17 , 1983 , in Arnhem -RRB- is a Dutch football midfielder . He currently plays for AEL Limassol .",5256,0.848946182,0.997842193,-0.493825376,0.470496161,0.995722115,-2.21583128,"['Nicky', 'Hofs', '-LRB-', 'born', 'May', '17', ',', '1983', ',', 'in', 'Arnhem', '-RRB-', 'is', 'a', 'Dutch', 'football', 'midfielder', ',', 'who', 'currently', 'plays', 'for', 'AEL', 'Limassol', '.']",Nicky Hofs LRB born May 17 1983 in Arnhem RRB is a Dutch football midfielder He currently plays for AEL Limassol,Nicky Hofs LRB born May 17 1983 in Arnhem RRB is a Dutch football midfielder who currently plays for AEL Limassol
5265,Beveren is a municipality located in the Belgian province of East Flanders .,"It is located at 51 12 North , 04 15 East .",Beveren is a municipality in the Belgian province of East Flanders.,5265,0.860583325,0.970190704,-0.32227847,0.734791454,0.000828809,-5.133711338,"['Beveren', 'is', 'a', 'municipality', 'located', 'in', 'the', 'Belgian', 'province', 'of', 'East', 'Flanders', '.']",Beveren is a municipality in the Belgian province of East Flanders,Beveren is a municipality located in the Belgian province of East Flanders
5268,"The word '' vocation '' comes from the Latin vocare -LRB- verb to call -RRB- ; PERSON@1 , Dictionary of Latin and Greek Theological Terms : Drawn Principally from Protestant Scholastic Theology -LRB- LOCATION@1 , LOCATION@2 : ORGANIZATION@1 , NUMBER@1 -RRB- , s.v. '' vocatio . ''","The word '' vocation '' comes from the Latin vocare , meaning '' to call '' ; PERSON@1 , Dictionary of Latin and Greek Theological Terms : Drawn Principally from Protestant Scholastic Theology -LRB- LOCATION@1 , LOCATION@2 : ORGANIZATION@1 , NUMBER@1 -RRB- , s.v. '' vocatio . ''","The word '' vocation '' comes from the Latin vocare -LRB- verb to call -RRB- ; PERSON@1 , Dictionary of Latin and Greek Theological Terms : Drawn Principally from Protestant Scholastic Theology -LRB- LOCATION@1 , LOCATION@2 : ORGANIZATION@1 , NUMBER@1 -RRB- , s.v.",5268,0.823873666,0.0,-0.297213733,0.944670016,0.0,-0.699284434,"['The', 'word', ""''"", 'vocation', ""''"", 'comes', 'from', 'the', 'Latin', 'vocare', '-LRB-', 'verb', 'to', 'call', '-RRB-', ';', 'PERSON@1', ',', 'Dictionary', 'of', 'Latin', 'and', 'Greek', 'Theological', 'Terms', ':', 'Drawn', 'Principally', 'from', 'Protestant', 'Scholastic', 'Theology', '-LRB-', 'LOCATION@1', ',', 'LOCATION@2', ':', 'ORGANIZATION@1', ',', 'NUMBER@1', '-RRB-', ',', 's.v.', ""''"", 'vocatio', '.', ""''""]",The word vocation comes from the Latin vocare LRB verb to call RRB PERSON@1 Dictionary of Latin and Greek Theological Terms Drawn Principally from Protestant Scholastic Theology LRB LOCATION@1 LOCATION@2 ORGANIZATION@1 NUMBER@1 RRB s v,The word vocation comes from the Latin vocare LRB verb to call RRB PERSON@1 Dictionary of Latin and Greek Theological Terms Drawn Principally from Protestant Scholastic Theology LRB LOCATION@1 LOCATION@2 ORGANIZATION@1 NUMBER@1 RRB s v vocatio
5292,"Colby Lopez -LRB- born May 28 , 1986 -RRB- is an American professional wrestler , better known by his ring name Tyler Black .","Colby Lopez -LRB- born May 28 , 1986 -RRB- , better known by his ring name Tyler Black , is an American professional wrestler .","Colby Lopez -LRB- born May 28 , 1986 -RRB- is an American professional wrestler .",5292,0.617842375,0.999741733,-0.725181758,0.524191569,0.950972795,-1.332664013,"['Colby', 'Lopez', '-LRB-', 'born', 'May', '28', ',', '1986', '-RRB-', 'is', 'an', 'American', 'professional', 'wrestler', ',', 'better', 'known', 'by', 'his', 'ring', 'name', 'Tyler', 'Black', '.']",Colby Lopez LRB born May 28 1986 RRB is an American professional wrestler,Colby Lopez LRB born May 28 1986 RRB is an American professional wrestler better known by his ring name Tyler Black
5294,"At NUMBER@1 p.m. EDT on August NUMBER@2 , the center of the remnant low of what was Katrina had been completely absorbed by a frontal boundary in southeastern LOCATION@1 , with no discernible circulation .","At NUMBER@1 p.m. EDT on August NUMBER@2 , the center of the remnant storm that was once Katrina was absorbed by another weather system in southeastern LOCATION@1 .","EDT on August NUMBER@2 , the center of the remnant low of what was Katrina had been completely absorbed by a frontal boundary in southeastern LOCATION@1 , with no discernible circulation .",5294,0.89615114,0.933125079,-1.186213493,0.91122327,0.999912739,-1.814653158,"['At', 'NUMBER@1', 'p.m.', 'EDT', 'on', 'August', 'NUMBER@2', ',', 'the', 'center', 'of', 'the', 'remnant', 'low', 'of', 'what', 'was', 'Katrina', 'had', 'been', 'completely', 'absorbed', 'by', 'a', 'frontal', 'boundary', 'in', 'southeastern', 'LOCATION@1', ',', 'with', 'no', 'discernible', 'circulation', '.']",EDT on August NUMBER@2 the center of the remnant low of what was Katrina had been completely absorbed by a frontal boundary in southeastern LOCATION@1 with no discernible circulation,At NUMBER@1 p m EDT on August NUMBER@2 the center of the remnant low of what was Katrina had been completely absorbed by a frontal boundary in southeastern LOCATION@1 with no discernible circulation
5298,"etymology -RRB- -RRB- is a territory of LOCATION@1 that was formerly unified under one state , but now divided into two separate states and a region in northeastern LOCATION@2 .",Colony of LOCATION@3 to nowadays,"LOCATION@1 is a territory of LOCATION@1 that was formerly unified under one state , but now divided into two separate states and a region in northeastern LOCATION@2 .",5298,0.886210975,0.999037623,-0.610544622,0.676649931,0.191730559,-4.635476112,"['etymology', '-RRB-', '-RRB-', 'is', 'a', 'territory', 'of', 'LOCATION@1', 'that', 'was', 'formerly', 'unified', 'under', 'one', 'state', ',', 'but', 'now', 'divided', 'into', 'two', 'separate', 'states', 'and', 'a', 'region', 'in', 'northeastern', 'LOCATION@2', '.']",LOCATION@1 is a territory of LOCATION@1 that was formerly unified under one state but now divided into two separate states and a region in northeastern LOCATION@2,etymology RRB RRB is a territory of LOCATION@1 that was formerly unified under one state but now divided into two separate states and a region in northeastern LOCATION@2
5300,"This is followed by PERSON@1 -LRB-/O72,519/O-RRB- , LOCATION@1 -LRB-/O51,063/O-RRB- , PERSON@2 -LRB-/O49,222/O-RRB- , LOCATION@2 -LRB-/O25,849/O-RRB- , and PERSON@3 -LRB-/O22,367/O-RRB- .",LOCATION@2,"PERSON@1 -LRB-/O72,519/O-RRB- , LOCATION@1 -LRB-/O51,063/O-RRB- , PERSON@2 -LRB-/O49,222/O-RRB- , LOCATION@2 -LRB-/O25,849/O-RRB- , and PERSON@3 -LRB-/O22,367/O-RRB- .",5300,0.850037745,0.0,-0.204600066,0.564769162,0.554128289,-4.56252718,"['This', 'is', 'followed', 'by', 'PERSON@1', '-LRB-/O72,519/O-RRB-', ',', 'LOCATION@1', '-LRB-/O51,063/O-RRB-', ',', 'PERSON@2', '-LRB-/O49,222/O-RRB-', ',', 'LOCATION@2', '-LRB-/O25,849/O-RRB-', ',', 'and', 'PERSON@3', '-LRB-/O22,367/O-RRB-', '.']",PERSON@1 LRB O72 519 O RRB LOCATION@1 LRB O51 063 O RRB PERSON@2 LRB O49 222 O RRB LOCATION@2 LRB O25 849 O RRB and PERSON@3 LRB O22 367 O RRB,This is followed by PERSON@1 LRB O72 519 O RRB LOCATION@1 LRB O51 063 O RRB PERSON@2 LRB O49 222 O RRB LOCATION@2 LRB O25 849 O RRB and PERSON@3 LRB O22 367 O RRB
5309,"PERSON@1 , PERSON@2 -LRB-/O1994/O-RRB- , p. NUMBER@1 After a year-and-a-half , the two became engaged to be married , just before he went off to World War II as a ORGANIZATION@1 torpedo bomber pilot .",He was a torpedo bomber of the ORGANIZATION@2 .,"PERSON@1 , PERSON@2 -LRB-/O1994/O-RRB- , p.",5309,0.196139782,0.95489502,-0.641995549,0.745865325,0.321979314,-3.193758011,"['PERSON@1', ',', 'PERSON@2', '-LRB-/O1994/O-RRB-', ',', 'p.', 'NUMBER@1', 'After', 'a', 'year-and-a-half', ',', 'the', 'two', 'became', 'engaged', 'to', 'be', 'married', ',', 'just', 'before', 'he', 'went', 'off', 'to', 'World', 'War', 'II', 'as', 'a', 'ORGANIZATION@1', 'torpedo', 'bomber', 'pilot', '.']",PERSON@1 PERSON@2 LRB O1994 O RRB p,PERSON@1 PERSON@2 LRB O1994 O RRB p NUMBER@1 After a year and a half the two became engaged to be married just before he went off to World War II as a ORGANIZATION@1 torpedo bomber pilot
5314,"At dawn on September NUMBER@1 , Maj. Gen. PERSON@1 's corps mounted a powerful assault on PERSON@2 's left flank .","At dawn on September NUMBER@1 , Maj. Gen. PERSON@3 corps mounted a powerful assault on PERSON@4 left flank .",PERSON@1 's corps mounted a powerful assault on PERSON@2 's left flank .,5314,0.605350444,0.999422908,-0.792941153,0.934270197,0.754192173,-1.711609244,"['At', 'dawn', 'on', 'September', 'NUMBER@1', ',', 'Maj.', 'Gen.', 'PERSON@1', ""'s"", 'corps', 'mounted', 'a', 'powerful', 'assault', 'on', 'PERSON@2', ""'s"", 'left', 'flank', '.']",PERSON@1 s corps mounted a powerful assault on PERSON@2 s left flank,At dawn on September NUMBER@1 Maj Gen PERSON@1 s corps mounted a powerful assault on PERSON@2 s left flank
5315,"The Fourier transform is also defined for such a function . As we increase the length of the interval on which we calculate the Fourier series , then the Fourier series coefficients begin to look like the PERSON@1 transform and the sum of the Fourier series of Æ ' begins to look like the inverse PERSON@1 transform .",The Fast Fourier Transform is a way of calculating a PERSON@1 transform much faster with a computer .,"As we increase the length of the interval on which we calculate the Fourier series , then the Fourier series coefficients begin to look like the PERSON@1 transform and the sum of the Fourier series of  ' begins to look like the inverse PERSON@1 transform .",5315,0.721561612,0.99909389,-0.487172574,0.658464665,0.642752528,-4.080910206,"['The', 'Fourier', 'transform', 'is', 'also', 'defined', 'for', 'such', 'a', 'function', '.', 'As', 'we', 'increase', 'the', 'length', 'of', 'the', 'interval', 'on', 'which', 'we', 'calculate', 'the', 'Fourier', 'series', ',', 'then', 'the', 'Fourier', 'series', 'coefficients', 'begin', 'to', 'look', 'like', 'the', 'PERSON@1', 'transform', 'and', 'the', 'sum', 'of', 'the', 'Fourier', 'series', 'of', 'Æ', ""'"", 'begins', 'to', 'look', 'like', 'the', 'inverse', 'PERSON@1', 'transform', '.']",As we increase the length of the interval on which we calculate the Fourier series then the Fourier series coefficients begin to look like the PERSON@1 transform and the sum of the Fourier series of begins to look like the inverse PERSON@1 transform,The Fourier transform is also defined for such a function As we increase the length of the interval on which we calculate the Fourier series then the Fourier series coefficients begin to look like the PERSON@1 transform and the sum of the Fourier series of begins to look like the inverse PERSON@1 transform
5316,Licques is a commune in the LOCATION@1 department in the LOCATION@2 region of LOCATION@3 .,Licques is a commune . It is found in the region Nord-Pas-de-Calais in the LOCATION@1 department in the north of LOCATION@3 .,Licques is a commune.,5316,0.20096392,0.983199298,-1.427960515,0.964491129,0.565897405,-3.004297972,"['Licques', 'is', 'a', 'commune', 'in', 'the', 'LOCATION@1', 'department', 'in', 'the', 'LOCATION@2', 'region', 'of', 'LOCATION@3', '.']",Licques is a commune,Licques is a commune in the LOCATION@1 department in the LOCATION@2 region of LOCATION@3
5336,"After Cao Cao 's death in 220 , Cao Pi forced Emperor Xian to yield the throne to him , ending the Han Dynasty and establishing the Cao Wei kingdom . Sun did not immediately submit to Cao Wei or declare independence after Cao Pi 's enthronement , but took a wait-and-see attitude ; by contrast , in early 221 , Liu Bei declared himself emperor , establishing Shu Han .","After Cao Cao 's son Cao Pi started the Wei Dynasty in 220 , Liu Bei also wanted to be an emperor and declared himself Emperor of Shu Han in 221 .","After Cao Cao 's death in 220 , Cao Pi forced Emperor Xian to yield the throne to him , ending the Han Dynasty and establishing the Cao Wei kingdom .",5336,0.32604871,0.999762595,-0.581275702,0.319454343,0.999875247,-2.690093994,"['After', 'Cao', 'Cao', ""'s"", 'death', 'in', '220', ',', 'Cao', 'Pi', 'forced', 'Emperor', 'Xian', 'to', 'yield', 'the', 'throne', 'to', 'him', ',', 'ending', 'the', 'Han', 'Dynasty', 'and', 'establishing', 'the', 'Cao', 'Wei', 'kingdom', '.', 'Sun', 'did', 'not', 'immediately', 'submit', 'to', 'Cao', 'Wei', 'or', 'declare', 'independence', 'after', 'Cao', 'Pi', ""'s"", 'enthronement', ',', 'but', 'took', 'a', 'wait-and-see', 'attitude', ';', 'by', 'contrast', ',', 'in', 'early', '221', ',', 'Liu', 'Bei', 'declared', 'himself', 'emperor', ',', 'establishing', 'Shu', 'Han', '.']",After Cao Cao s death in 220 Cao Pi forced Emperor Xian to yield the throne to him ending the Han Dynasty and establishing the Cao Wei kingdom,After Cao Cao s death in 220 Cao Pi forced Emperor Xian to yield the throne to him ending the Han Dynasty and establishing the Cao Wei kingdom Sun did not immediately submit to Cao Wei or declare independence after Cao Pi s enthronement but took a wait and see attitude by contrast in early 221 Liu Bei declared himself emperor establishing Shu Han
5339,"A badge is a device , patch , or accoutrement which is presented or displayed to indicate some feat of service , a special accomplishment , a symbol of authority granted by taking an oath -LRB- e.g. , police and fire -RRB- , a sign of legitimate employment or student status , or as a simple means of identification .","A badge is a device , patch , or accoutrement which is given and/or can be displayed to indicate some feat of service . It can be for a special accomplishment , a symbol of authority granted by taking an oath -LRB- e.g. , police and fire -RRB- . It may also be a sign of legitimate employment or student status , or as a simple means of identification .",", police and fire -RRB- , a sign of legitimate employment or student status , or as a simple means of identification .",5339,0.351197634,0.995646656,-1.038321972,0.944120614,0.0,-0.986940086,"['A', 'badge', 'is', 'a', 'device', ',', 'patch', ',', 'or', 'accoutrement', 'which', 'is', 'presented', 'or', 'displayed', 'to', 'indicate', 'some', 'feat', 'of', 'service', ',', 'a', 'special', 'accomplishment', ',', 'a', 'symbol', 'of', 'authority', 'granted', 'by', 'taking', 'an', 'oath', '-LRB-', 'e.g.', ',', 'police', 'and', 'fire', '-RRB-', ',', 'a', 'sign', 'of', 'legitimate', 'employment', 'or', 'student', 'status', ',', 'or', 'as', 'a', 'simple', 'means', 'of', 'identification', '.']",police and fire RRB a sign of legitimate employment or student status or as a simple means of identification,A badge is a device patch or accoutrement which is presented or displayed to indicate some feat of service a special accomplishment a symbol of authority granted by taking an oath LRB e g police and fire RRB a sign of legitimate employment or student status or as a simple means of identification
5349,"This resulted in a hung parliament where no party was able to command a majority in the ORGANIZATION@1 . This was only the second general election since World War II to return a hung parliament , the first being the February NUMBER@1 election .","The election resulted in a hung parliament , where no political party has an overall majority of seats .","This was only the second general election since World War II to return a hung parliament , the first being the February NUMBER@1 election .",5349,0.499197937,0.999818444,-0.490945518,0.487846641,0.999881864,-2.888644218,"['This', 'resulted', 'in', 'a', 'hung', 'parliament', 'where', 'no', 'party', 'was', 'able', 'to', 'command', 'a', 'majority', 'in', 'the', 'ORGANIZATION@1', '.', 'This', 'was', 'only', 'the', 'second', 'general', 'election', 'since', 'World', 'War', 'II', 'to', 'return', 'a', 'hung', 'parliament', ',', 'the', 'first', 'being', 'the', 'February', 'NUMBER@1', 'election', '.']",This was only the second general election since World War II to return a hung parliament the first being the February NUMBER@1 election,This resulted in a hung parliament where no party was able to command a majority in the ORGANIZATION@1 This was only the second general election since World War II to return a hung parliament the first being the February NUMBER@1 election
