,source_sentence,pred,bart_score_gold
5363,has '' Split '' printed inside it and the other has '' Steal '' printed inside it .,One has '' Split '' printed inside it and the other has '' Steal '' printed inside it.,-2.619237423
5364,"-LRB- , Cs-137 -RRB- is a radioactive isotope of caesium which is formed as a fission product by nuclear fission .",Caesium is a radioactive isotope of caesium which is formed as a fission product by nuclear fission.,-2.077466011
5365,"is found in woody and many herbaceous dicots , gymnosperms and some monocots , which usually lack secondary growth .","It is found in many herbaceous dicots, gymnosperms and some monocots, which usually lack secondary growth.",-0.902941287
5366,"k Ä nsanÄ DeÄ iÅ tirir -LRB- English : Love Changes Human -RRB- , is the thirteenth album of Turkish singer YÄ ldÄ z Tilbe .","A k  nsan De i tirir -LRB- English : Love Changes Human -RRB-, is the thirteenth album by Turkish singer Y ld z Tilbe.",-1.461413503
5367,", she was identified as his daughter , and later as his wife .","First, she was identified as his daughter, and later as his wife.",-5.289559364
5368,"County of PERSON@1 was created in NUMBER@1 , upon the partition of the County of Hohenzollern , a fief of the Holy Roman Empire .","The County of PERSON@1 was created in NUMBER@1, after the County of Hohenzollern was divided from the Holy Roman Empire.",-2.062963486
5369,"-LRB- screenwriter -RRB- , screenwriter born in LOCATION@1 .","PERSON@1 -LRB- screenwriter -RRB-, screenwriter born in LOCATION@1.",-2.302620173
5370,95 % of them belong to the native Coptic Orthodox Church of Alexandria .,About 95 % of them belong to the native Coptic Orthodox Church of Alexandria.,-2.012020111
5371,"covered parts of three poor law unions and rural sanitary districts : those of LOCATION@2 , LOCATION@3 and LOCATION@4 .","LOCATION@1 covered parts of three poor law unions and rural sanitary districts : those of LOCATION@2, LOCATION@3 and LOCATION@4.",-2.431078196
5372,his lifetime Carver won six O. Henry Awards : the winning stories were '' Are These Actual Miles '' -LRB- originally titled '' What is it ? '' -RRB-,Throughout his life Carver won six O. Henry Awards : the winning stories were Are These Actual Miles -LRB- originally titled '' What is it? '' -RRB-,-0.756272435
5373,Province of LOCATION@1 -LRB- Provincia di LOCATION@1 -RRB- is a province in the LOCATION@2 region of LOCATION@3 .,The Province of LOCATION@1 -LRB- Provincia di LOCATION@1 -RRB- is a province in the LOCATION@2 region of LOCATION@3.,-2.152098894
5374,"Curtiz , a noted director during the golden era of the Hollywood studio system whose famous productions included The Adventures of Robin Hood in 1938 , Yankee Doodle Dandy in 1942 , and in the same year , Casablanca , was hired to helm the project .","Michael Curtiz was a noted director during the golden era of the Hollywood studio system whose famous productions included The Adventures of Robin Hood in 1938, Yankee Doodle Dandy in 1942, and in the same year, Casablanca.",-1.105472207
5375,"thermodynamics , a heat engine performs the conversion of heat energy to mechanical work by exploiting the temperature gradient between a hot '' source '' and a cold '' sink '' .","In thermodynamics, a heat engine performs the conversion of heat energy to mechanical work by exploiting the temperature gradient between a hot '' source '' and a cold '' sink ''.",-8.294492722
5376,third edition was published in NUMBER@1 .,A third edition was published in NUMBER@1.,-2.328291178
5377,"In German , all nouns and noun-like words are capitalized .","In German, all nouns and noun-like words are capitalized.",-1.293133855
5378,"Do n't Bother Me '' is one of several songs featured in A Hard Day 's Night , during a scene where The Beatles dance at a nightclub while PERSON@1 's grandfather gambles elsewhere .",'' Don't Bother Me '' is one of several songs from the movie A Hard Day's Night. It shows The Beatles dancing at a nightclub while PERSON@1's grandfather gambles elsewhere.,-0.82262826
5379,"districts of LOCATION@1 are LOCATION@2 , LOCATION@3 , PERSON@1 , PERSON@2 and Sedgemoor .","The districts of LOCATION@1 are LOCATION@2, LOCATION@3, PERSON@1 and Sedgemoor.",-3.038604259
5380,video The music video for '' Dead Memories '' was directed by PERSON@1 .,Music video The music video for '' Dead Memories '' was directed by PERSON@1.,-2.192762613
5381,"is served by PERSON@1 railway station , with services from LOCATION@1 , ORGANIZATION@1 , LOCATION@2 and LOCATION@3 on the North TransPennine route and from ORGANIZATION@2 via LOCATION@4 and LOCATION@5 on the ORGANIZATION@3 .","PERSON@1 is served by PERSON@1 railway station, with services from LOCATION@1, ORGANIZATION@1, LOCATION@2 and LOCATION@3 on the North TransPennine route and from ORGANIZATION@2 via LOCATION@4 and LOCATION@5 on the ORGANIZATION@3.",-1.574758649
5382,then informs them that the maid is actually the head of a cleaning service which the girls must now work for while cleaning the purported house of Omarosa Manigault-Stallworth .,Laura then tells them that the maid is actually the head of a cleaning service which the girls must now work for while cleaning the purported house of Omarosa.,-0.862431943
5383,is also known for his voice roles on television programs such as Futurama and King of the Hill .,He is also known for his roles on television programs such as Futurama and King of the Hill.,-1.143204451
5384,"1929 , Chongqing became a municipality of the Republic of China .","From 1929, Chongqing became a municipality of the Republic of China.",-2.670472383
5385,"& ndash ; PERSON@1 , Canadian physician , recipient of the Nobel Prize in Physiology or Medicine -LRB- d. NUMBER@2 -RRB-","NUMBER@1 - PERSON@1, Canadian physician, winner of the Nobel Prize in Physiology or Medicine -LRB- d. NUMBER@2 -RRB-",-2.280323267
5386,"the song , Burdon mentions Monterey performers The Byrds , Jefferson Airplane , Ravi Shankar , Jimi Hendrix , The Who , Hugh Masekela , The Grateful Dead , and The Rolling Stones ' Brian Jones -LRB- '' His Majesty Prince Jones smiled as he moved among the crowd '' -RRB- .","In the song, Burdon mentions The Byrds, Jefferson Airplane, Ravi Shankar, Jimi Hendrix, The Who, Hugh Masekela, The Grateful Dead, and The Rolling Stones'Brian Jones -LRB- '' His Majesty Prince Jones smiled as he moved among the crowd ''.",-3.877399445
5387,"up as brave , fearless and independent men the three brothers Theerthagiri , Kilothar and Thambi soon devoted their attention to administration and safety of the villages under their jurisdiction .","Growing up as brave men the three brothers Theerthagiri, Kilothar and Thambi soon devoted their attention to administration and safety of the villages under their jurisdiction.",-1.804756761
5388,"emerged from United Nations trusteeship -LRB- administered by the United States -RRB- in 1994 , it is one of the world 's youngest and smallest sovereign states .",It is one of the youngest and smallest sovereign states in the world.,-4.86090374
5389,"beam welding employs a highly focused laser beam , while electron beam welding is done in a vacuum and uses an electron beam .","Laser beam welding uses a highly focused laser beam, while electron beam welding is done in a vacuum and uses an electron beam.",-4.551811218
5390,"were built in LOCATION@1 , LOCATION@2 and LOCATION@3 in the 11th and 12th centuries , favored as a relatively cheap but effective defensive fortification that could be built very quickly and repel most small attacks .","Many were built in LOCATION@1, LOCATION@2 and LOCATION@3 in the 11th and 12th centuries.",-2.073417187
5391,"-LRB- Albanian ; MitrovicÃ '' or Mitrovica , ; -RRB- , is a city and municipality in northern Kosovo .","Mitrovica -LRB- Albanian ; Mitrovic '' or Mitrovica, -RRB- is a city and municipality in the northern part of Kosovo.",-2.85938096
5392,"1987 the University of Kent at Canterbury awarded an honorary degree to Postgate , who stated that the degree was really intended for Bagpuss , who was subsequently displayed in academic dress .","In 1987 the University of Kent at Canterbury awarded an honorary degree to Postgate, who stated that the degree was really meant for Bagpuss, who was displayed in academic dress.",-0.956234097
5393,"contract was prolonged until NUMBER@1 , although tobacco advertising has been banned since NUMBER@2 .","The contract was extended until NUMBER@1, although tobacco advertising has been banned since NUMBER@2.",-1.225862622
5394,"TV works spanned a 20-year period during which he created The Patty Duke Show -LRB- 1963 -- 66 -RRB- , I Dream of Jeannie -LRB- 1965 -- 70 -RRB- and Hart to Hart -LRB- 1979 -- 84 -RRB- , but it was not until after he turned 50 and began writing best-selling novels such as Master of the Game -LRB-/O1982/O-RRB- , The Other Side of Midnight -LRB-/O1973/O-RRB- and Rage of Angels -LRB-/O1980/O-RRB- that he became most famous .","His TV works spanned a period of 20 years during which he created The Patty Duke Show -LRB- 1963 -- 66 -RRB-, I Dream of Jeannie -LRB- 1965 -- 70 -RRB- and Hart to Hart -LRB- 1979 -- 84 -RRB-.",-4.038191319
5395,he maroons them with a small dinghy on an island .,Instead he maroons them with a small boat on an island.,-3.974282742
5396,"surrounding seas , especially at the end of the peninsula , can be dangerous .","The surrounding seas, especially at the end of the peninsula, can be dangerous.",-6.097913265
5397,"was one of modern LOCATION@1 's most commercially successful and prolific writers , specializing in serialized romance novels and adolescent girlsâ fiction , as well as a pioneer in Japanese lesbian literature , including the Class S genre .","She was one of modern LOCATION@1's most commercially successful and prolific writers, specializing in serialized romance novels and adolescent girlsâ fiction.",-2.018352509
5398,"less drastic cases , the tag -LRB- -RRB- , the tag -LRB- -RRB- or the tag -LRB- -RRB- -LRB- all of which include an internal wikilink to this page -RRB- can be added directly to the phrase in question ; same as the tag -LRB- -RRB- .","For less drastic cases, the tag -LRB- -RRB-, the tag -LRB- -RRB- or the tag -LRB- -RRB- -LRB- all of which include an internal wikilink to this page -RRB- can be added directly to the phrase in question.",-0.518193066
5399,"was only the second LOCATION@1 storm to be named with the letter ` T ' , after PERSON@2 in NUMBER@1 , with a third '' T '' named storm , Hurricane PERSON@3 , forming NUMBER@2 years later in the NUMBER@3 LOCATION@1 hurricane season This was also the first time PERSON@1 had been used to name any tropical cyclone worldwide .","PERSON@1 was only the second LOCATION@1 storm to be named with the letter '' T '', after PERSON@2 in NUMBER@1, with a third '' T '' named storm, Hurricane PERSON@3, forming NUMBER@2 years later in the NUMBER@3 hurricane season. This was also the first time PERSON@1 had been used to name any tropical cyclone worldwide.",-0.586315095
5400,won one race and PERSON@1 ended the year fifth in the championship .,They won one race and PERSON@1 ended the year fifth in the championship.,-1.027277231
5401,is also the headquarters of the U.S. Pacific Fleet .,It is also the headquarters of the U.S. Pacific Fleet.,-4.814495564
5402,"of Terminology and Translation in Teaching the Holocaust '' , workshop from a May NUMBER@1 conference ; see ORGANIZATION@1 website .","Issues of Terminology and Translation in Teaching the Holocaust '', workshop from a May NUMBER@1 conference ; see ORGANIZATION@1 website.",-6.677009106
5403,"NUMBER@1 -LRB- known until NUMBER@2 October NUMBER@3 as ORGANIZATION@2 NUMBER@1 -RRB- is a British digital radio station broadcasting comedy , drama , and children 's programming nationally NUMBER@4 hours a day .","ORGANIZATION@1 NUMBER@1 -LRB- known until NUMBER@2 October NUMBER@3 as ORGANIZATION@2 NUMBER@1 -RRB- is a British radio station that broadcasts comedy, drama and children's programming nationwide NUMBER@4 hours a day.",-1.061495423
5404,David Brand KCMG -LRB- 1 August 1912 15 April 1979 -RRB- was the 19th and longest serving Premier of Western Australia and a Member of the Legislative Assembly from 1945 to 1975 .,"Sir David Brand -LRB- born August 1, 1912 ; died April 15, 1979 -RRB- was the longest serving Premier of Western Australia.",-2.384027004
5405,ad-Dawlah Malik Shah I 1072 -- 1092,Jalal ad-Dawlah Khan I 1072 -- 1092,-3.780714512
5406,was agreed that the two leagues ' champion teams would play in an AFL -- NFL World Championship Game until the merger was consummated in 1970 .,It was agreed that the two leagues'champion teams would play in an AFL -- NFL World Championship Game until the merger was concluded in 1970.,-2.747846127
5407,and twelfth grade were added in NUMBER@1 and NUMBER@2 respectively with the first graduating class being the class of June NUMBER@3 .,Eleventh and twelfth grades were added in NUMBER@1 and NUMBER@2 respectively. The first graduating class was the class of June NUMBER@3.,-0.653578937
5408,was developed by Bjarne Stroustrup starting in 1979 at Bell Labs as an enhancement to the C programming language and originally named '' C with Classes '' .,It was developed by Bjarne Stroustrup starting in 1979 at Bell Labs as an enhancement to the C programming language and originally named '' C with Classes ''.,-1.315402627
5409,", a religious sacrifice of plant , animal or human life","Offering, a religious sacrifice of plant, animal or human life",-4.328237057
5410,settlements are nestled on mountain ridges about 20 kilometres from the city of Abbottabad .,These settlements are nestled on mountain ridges about 20 kilometres from the city of Abbottabad.,-1.520253181
5411,-- 45 -RRB- is the best known of a number of important Romanesque illuminated manuscripts produced in the Abbey scriptorium .,1130 -- 45 -RRB- is the best known of a number of important Romanesque illuminated manuscripts produced in the Abbey scriptorium.,-2.114695787
5412,joined PERSON@1 's Thameside Four in NUMBER@1 .,He joined PERSON@1's Thameside Four in NUMBER@1.,-2.316032887
5413,"NUMBER@1 , NUMBER@2 students are enrolled at the primary school .","In NUMBER@1, NUMBER@2 students are enrolled at the school.",-2.945492506
5414,are two major styles of punctuation in English : American or Traditional punctuation ; and British or Logical punctuation .,There are two main styles of punctuation in English : American or Traditional punctuation ; and British or Logical punctuation.,-2.990663528
5415,": Where RMS -LRB- root mean square -RRB- is stated above , the peak voltage is times greater than the RMS voltage for a sinusoidal signal centered around zero voltage .","Note : Where RMS -LRB- root mean square -RRB- is stated above, the peak voltage is times greater than the RMS voltage for a sinusoidal signal centered around zero voltage.",-1.50209856
5416,"to the ORGANIZATION@1 's estimate in April of NUMBER@1 , the city has a population of NUMBER@2 , making it the fourth largest city in the state .","According to the ORGANIZATION@1's estimate in April of NUMBER@1, the city has a population of NUMBER@2.",-1.563896775
5417,"sales were mostly seasonal , there were not many full time , yearly employees .","Since sales were mostly seasonal, there were not many full time, yearly employees.",-7.506545544
5418,"heraldry , azure is the tincture with the color blue , and belongs to the class of tinctures called '' colors '' .","In heraldry, azure is the tincture with the color blue, and belongs to the class of tinctures called colors.",-0.790262401
5419,returned to the ORGANIZATION@1 in October NUMBER@1 as the ORGANIZATION@2 MP for the Northern Irish constituency of South Down until he was defeated in the NUMBER@2 General Election .,He returned to the ORGANIZATION@1 in October NUMBER@1 as the ORGANIZATION@2 MP for the Northern Irish constituency of South Down.,-2.913494587
5420,is situated on the Princes Highway and is near the western end of the Great Ocean Road .,It is on the Princes Highway and is near the western end of the Great Ocean Road.,-2.176143646
5421,"mass grave in southern Ukraine , found accidentally by workers in May , is confirmed to be filled with thousands of Holocaust victims .","A mass grave in southern Ukraine, found accidentally by workers in May, is confirmed to be filled with thousands of Holocaust victims.",-1.960013151
5422,"the early morning hours of February NUMBER@1 , NUMBER@2 , PERSON@1 broke into PERSON@2 's room , knocked her unconscious , dressed her in jeans and a shirt , wrapped her in a bed sheet , and carried her away .","In the early morning hours of February NUMBER@1, NUMBER@2, PERSON@1 broke into PERSON@2's room, knocked her unconscious, dressed her in jeans and a shirt, wrapped her in a bed sheet, and carried her away.",-2.725141287
5423,"city is east of Buffalo , west of Syracuse and sits on the southern shore of Lake Ontario .","The city is east of Buffalo, west of Syracuse and lies on the southern shore of Lake Ontario.",-1.879333138
5424,"this time Ipswich were an amateur side -LRB- the team became professional in 1936 -RRB- and the first visit of a professional club came in 1892 , when Preston North End played a Suffolk County Football Association team .","At this time Ipswich were an amateur side -LRB- the team became professional in 1936 -RRB- and the first visit of a professional club came in 1892, when Preston North End played a Suffolk County Football Association team.",-2.020576715
5425,Chinese characters refers to Chinese characters in any character set which does not contain newly created characters or character substitutions performed after NUMBER@1 .,Traditional Chinese characters refers to Chinese characters in any character set which does not contain newly created characters or character substitutions performed after NUMBER@1.,-7.673027039
5426,"Sutton is small in number of dwellings but relatively large in area : the parish has a women 's prison , a council estate of 16 houses and the church of St Peter and Saint Paul .","East Sutton is small in number of dwellings but relatively large in area : the parish has a women's prison, a council estate of 16 houses and the church of St. Peter and Saint Paul.",-1.634277344
5427,NUMBER@1 & ndash ; PERSON@1 and his regiment arrive in LOCATION@1 .,February NUMBER@1 - PERSON@1 and his regiment arrive in LOCATION@1.,-2.702512264
5428,1930 -- 31 NHL season was the fourteenth season of the National Hockey League .,The 1930-31 NHL season was the fourteenth season of the National Hockey League.,-3.779850721
5429,"'s body , little more than a charred stump , was claimed by his brother Dick Hart and buried at Greta Cemetery the following day -LRB- June 29 -RRB- in the same grave as Dan Kelly .",Hart's body was buried at Greta Cemetery the next day -LRB- June 29 -RRB- in the same grave as Dan Kelly.,-2.201547384
5430,"arrive : PERSON@1 's fiancÃ PERSON@2 -LRB- tenor -RRB- , a young NUMBER@1 year-old poet , and his friend PERSON@3 -LRB- baritone -RRB- , a NUMBER@2 year-old world-weary LOCATION@1 ` drawing-room automaton ' -LRB- PERSON@4 -RRB- . PERSON@2 introduces Onegin to the PERSON@5 family .","Visitors arrive : PERSON@1's fianc PERSON@2 -LRB- tenor -RRB-, a young NUMBER@1 year-old poet, and his friend PERSON@3 -LRB- baritone -RRB-, a NUMBER@2 year-old world-weary LOCATION@1  drawing-room automaton'-LRB- PERSON@4 -",-3.039221287
5431,"state has several well-known colleges including Purdue University , University of Notre Dame , Butler University and Indiana University .","The state has several well-known colleges including Purdue University, University of Notre Dame, Butler University and Indiana University.",-2.418297291
5432,"this period he came under the influence of his friend and confidant PERSON@1 , who recommended cocaine for the treatment of the so-called '' nasal reflex neurosis '' .","In this period he came under the influence of his friend and confidant PERSON@1, who recommended cocaine for the treatment of the so-called '' nasal reflex neurosis ''.",-2.342154026
5433,Makino is a Japanese football player currently playing for 1 .,Tomoaki Makino -LRB- born 20 April 1986 -RRB- is a Japanese football player. He plays for Japan national team.,-4.416521072
5434,"tomb is in Zahir o-dowleh Cemetery between Darband and Tajrish located in Shemiran , north of Tehran .","His tomb is in Zahir o-dowleh Cemetery located in Shemiran, north of Tehran.",-1.443840265
5435,"& ndash ; Eleven leaders of the American Communist Party are convicted , after a nine-month trial in a Federal District Court , of conspiring to advocate the violent overthrow of the U.S. Federal Government .","1949 - Eleven leaders of the American Communist Party are convicted, after a nine-month trial in a Federal District Court, of conspiring to advocate the violent overthrow of the U.S. Federal Government.",-5.169187069
5436,"made his public debut on the piano with his parents , at the age of seven .",He first started playing the piano at the age of seven.,-1.672932148
5437,"East Anglia Transport Museum is an open air transport museum , with numerous historic public transport vehicles -LRB- including many in full working order -RRB- .",The East Anglia Transport Museum has many historic public transport vehicles -LRB- including many in full working order -RRB-.,-2.625409365
5438,"Aviv is home to the Batsheva Dance Company , a contemporary dance troupe , as well as Bat Dor .",Tel Aviv is home to the Batsheva Dance Company and Bat Dor Dance Company.,-2.450822592
5439,", p. 58 After his retirement from professional sports , he owned a successful restaurant in downtown Montreal .","Podnieks, p. 58 After his retirement from professional sports, he owned a successful restaurant in downtown Montreal.",-2.407654762
5440,"2009 , Fox Interactive became a subsidiary of Activision Blizzard and is now a division of Activision , the successor-in-interest to Sierra Entertainment .","In 2009, Fox Interactive became a subsidiary of Activision Blizzard and is now a division of Activision.",-0.900716245
5441,", the teacher drilled students in the use of grammar .","Rather, the teacher drilled students in the use of grammar.",-4.974324703
5442,city is part of the '' Unified Government '' which also includes the cities of LOCATION@1 and LOCATION@2 .,The city is part of the '' Unified Government '' which also includes the cities of LOCATION@1 and LOCATION@2.,-0.846290648
5443,administrative division of Poland in the interwar period included 16 voivodeships and Warsaw -LRB- with voivodeship rights -RRB- .,The administrative division of Poland in the interwar period included 16 voivodeships and Warsaw -LRB- with voivodeship rights -RRB-.,-3.521158934
5444,"following year PERSON@1 was given the full conductorship , a post he held until the spring of NUMBER@1 .","The following year PERSON@1 was given the full conductorship, a post he held until the spring of NUMBER@1.",-1.694271803
5445,-LRB- MMXLVI -RRB- will be a common year starting on Monday of the Gregorian calendar .,NUMBER@1 -LRB- MMXLVI -RRB- will be a common year starting on Monday of the Gregorian calendar.,-1.675212979
5446,question of succession was also an issue in the split of the ORGANIZATION@1 movement . The ORGANIZATION@2 believed that an Anjuman -LRB- body of selected people -RRB- should be in charge of the community .,The ORGANIZATION@2 thought that an Anjuman -LRB- body of selected people -RRB- should be in charge of the community.,-2.977614641
5447,NUMBER@1 -RRB- -LRB- NUMBER@2 -RRB- -LRB- from NUMBER@3 -RRB-,-LRB- NUMBER@1 -- NUMBER@2 -RRB- -LRB- from NUMBER@3 -RRB-,-4.414999008
5448,in the LOCATION@1 speak LOCATION@2 and in the LOCATION@3 they speak LOCATION@4 .,People in the LOCATION@1 speak LOCATION@2 and in the LOCATION@3 they speak LOCATION@4.,-1.399680018
5449,", the airborne particulates are carried much further , in significant concentrations which affect air quality as far east as the LOCATION@1 .","Sometimes, the airborne particulates are carried much further, in significant concentrations which affect air quality as far east as the LOCATION@1.",-3.151069403
5450,league is dominated by two clubs : Al Ittihad and Al Ahly -LRB- Tripoli -RRB- .,The league is dominated by two clubs : Al Ittihad and Al Ahly.,-4.932209969
5451,"Gray was also interested in postage stamps ; on 1 May , 1840 , the day the Penny Black first went on sale , he purchased several with the intent to save them , thus making him the world 's first known stamp collector .","Miscellany Gray was also interested in postage stamps ; on 1 May, 1840, the day the Penny Black first went on sale, he bought some to keep, thus making him the world's first known stamp collector.",-0.997483015
5452,"would go to the movies together , forming the basis for PERSON@1 's fascination with the cinema and the stars on screen .","They would go to the movies together, which formed the basis for PERSON@1's fascination with the cinema and the stars on screen.",-1.557449102
5453,"NUMBER@1 , he abrogated the constitution and declared martial law .","In NUMBER@1, PERSON@1 abrogated the constitution and declared martial law.",-2.513342381
5454,"Enrique JimÃ nez Abalo -LRB- born 27 October 1956 in VilagarcÃ a de Arousa , Pontevedra , Galicia -RRB- is a former Spanish footballer , who played as a central defender .",Manuel Jim nez Abalo -LRB- born 27 October 1956 -RRB- is a former Spanish football player.,-1.789788604
5455,and cultural aspects of the Brussels Treaty were handed to the ORGANIZATION@1 to avoid duplication of responsibilities within LOCATION@1 .,Social and cultural aspects of the Brussels Treaty were handed to the ORGANIZATION@1 to avoid duplication of responsibilities within LOCATION@1.,-1.19286871
5456,= = NUMBER@1 NUMBER@2 NUMBER@3 -LRB-/O53/O-RRB- times NUMBER@4 ^ -LCB- NUMBER@5 -RCB- mbox -LCB- J s -RCB- = NUMBER@6 NUMBER@7 NUMBER@8 -LRB-/O16/O-RRB- times NUMBER@4 ^ -LCB- NUMBER@9 -RCB- mbox -LCB- eV s -RCB- .,hbar = = NUMBER@1 NUMBER@2 NUMBER@3 -LRB-/O53/O-RRB- times NUMBER@4  -LCB- NUMBER@5 -RCB- mbox -LCB- J s -RCB- NUMBER@6 NUMBER@7 NUMBER@8 -LRB-/O16/O-RRB- times NUMBER@9 -RCB-,-3.648917437
5457,birthstone for July is a red ruby .,The birthstone for July is a red ruby.,-2.970555782
5458,ORGANIZATION@1 is the principal broadcast orchestra of the ORGANIZATION@2 and one of the leading orchestras in LOCATION@1 .,The ORGANIZATION@1 is the principal broadcast orchestra of the ORGANIZATION@2 and one of the leading orchestras in LOCATION@1.,-7.63066864
5459,"of wave-like phenomena are sound waves , light , and water waves .","Examples of wave-like phenomena are sound waves, light waves, and water waves.",-5.342304707
5460,was originally accomplished through rituals performed by a high priest -LRB- Kohen -RRB- on the holiest day of the Jewish year : Yom Kippur -LRB- Day of Atonement -RRB- .,This was originally done through rituals performed by a high priest -LRB- Kohen -RRB- on the holiest day of the Jewish year : Yom Kippur -LRB- Day of Atonement -RRB-.,-1.089067698
5461,are usually nocturnal seed-eaters .,They are usually nocturnal seed-eaters.,-6.059985638
5462,", like the Northern Light Infantry which was a paramilitary force until 1999 , are now incorporated under the Pakistan Army .","Some, like the Northern Light Infantry which was a paramilitary force until 1999, are now part of the Pakistan Army.",-2.273922443
5463,"system The Moscow Metro has a broad gauge of 1520 mm , like ordinary Russian railways , and a third rail supply of 825 V DC .","The system The Moscow Metro has a broad gauge of 1520 mm, like ordinary Russian railways, and a third rail supply of 825 V DC.",-2.103441477
5464,"the majority of PERSON@1 video games , PERSON@1 's Adventure is a platformer .","Like the majority of PERSON@1 video games, PERSON@1's Adventure is a platform game.",-2.803474426
5465,became PERSON@2 upon her marriage to Sir PERSON@3 in NUMBER@1 .,PERSON@1 married PERSON@2 in NUMBER@1.,-2.346727133
5466,"the Mandarin-speaking world , Sun is more popularly known by her Mandarin name , PERSON@1 or PERSON@2 .","In the Chinese speaking world, Sun is more commonly known by her Mandarin name, PERSON@1 or PERSON@2.",-3.667853117
5467,"discovery Ununbium was first created on February NUMBER@1 , NUMBER@2 at the ORGANIZATION@1 für Schwerionenforschung -LRB- ORGANIZATION@2 -RRB- in LOCATION@1 , LOCATION@2 by PERSON@1 , PERSON@2 et al. .","Official discovery Ununbium was first created on February NUMBER@1, NUMBER@2 at the ORGANIZATION@1 für Schwerionenforschung -LRB- ORGANIZATION@2 -RRB- in LOCATION@1, LOCATION@2.",-0.835814118
5468,'s hypothesis proposes first that the southerly line of three stones inside the calendar circle represented the three stars of Orion 's Belt and the other three stones inside the calendar circle represented the shoulders and head stars of Orion as they appeared in the sky .,Brophy's hypothesis proposes first that the southerly line of three stones inside the calendar circle represented the three stars of Orion's Belt and the other three stones inside the calendar circle represented the shoulders and head stars of Orion as they appeared in the sky.,-3.095626593
5469,"City of Fairfax is an independent city forming an enclave within the confines of Fairfax County , in the Commonwealth of Virginia .","The City of Fairfax is an independent city forming an enclave within the confines of Fairfax County, in the Commonwealth of Virginia.",-2.441093445
5470,while the second volume was released in August .,The second volume was released in August.,-5.85948801
5471,"town 's major football club is Airdrie United , who play in the Second Division of the Scottish Football League , and are based at the Excelsior Stadium .","Airdrie Town is a town in the North-West of Scotland, in the north of Scotland. The town has its own football club, Airdrie United who play in the Second Division of the Scottish Football League.",-2.127248049
5472,"new game appearing in NUMBER@1 , called the champion 's game or limited-rail , is considered an intermediary game between straight rail and balkline and was designed with the specific intent of frustrating the rail nurse .","The new game appearing in NUMBER@1, called the champion's game or limited-rail, is considered an intermediary game between straight rail and balkline and was designed with the specific intent of frustrating the rail nurse.",-1.951091647
5473,"sired six children by PERSON@1 : ORGANIZATION@2 , Hades , ORGANIZATION@3 , Poseidon , LOCATION@1 and Zeus in that order , but swallowed them all as soon as they were born , since he had learned from LOCATION@2 and Uranus that he was destined to be overcome by his own child as he had overthrown his own father .","ORGANIZATION@1 had six children by PERSON@1 : ORGANIZATION@2, Hades, ORGANIZATION@3, Poseidon, LOCATION@1 and Zeus in that order, but swallowed them all as soon as they were born, since he had learned from LOCATION@2 and Uranus that he was going to be overcome by his own child as he had overthrown his own father.",-3.029111862
5474,field lines outside of a magnet point from the north pole to the south .,Magnetic field lines outside of a magnet point from the north pole to the south.,-3.329993963
5475,"the Verkhovna Rada elections , the seats are divided among all parties that achieved a minimum 3 % nationwide vote tally , using the Hamilton method of apportionment .","In the Verkhovna Rada elections, the seats are divided among all parties who had at least 3 % nationwide vote tally.",-1.043679357
5476,"Cristóbal is a province in the southern Dominican Republic , west of the capital Santo Domingo .","San Cristóbal is a province in the southern Dominican Republic, west of the capital Santo Domingo.",-2.139666557
5477,tar is microbicidal and has a pleasant odor -- a sweet musky scent much like that of barbecue .,Wood tar has a pleasant odor -- a sweet musky scent much like that of barbecue.,-2.316295147
5478,"name potassium comes from the word '' potash '' , Davy -LRB-/O1808/O-RRB- , p. 32 .","The name potassium comes from the word '' potash '', Davy -LRB-/O1808/O-RRB-, p.",-1.203825116
5479,"the patient recovers from cowpox , the person is immune to smallpox .","When the patient recovers from cowpox, the person is immune to smallpox.",-3.741522551
5480,"the right equipment and technique , matcha can become '' burnt '' and suffer degraded quality .","Without the right equipment and technique, matcha can become burnt and suffer degraded quality.",-2.521726608
5481,"'s remnant low was absorbed a larger extratropical low which tracked north and contributed to the LOCATION@1 flooding of October NUMBER@1 , which killed ten people and caused significant damage .","PERSON@1's remnant low was absorbed a larger extratropical low which tracked north and contributed to the LOCATION@1 flooding of October NUMBER@1, which killed ten people and caused significant damage.",-3.16608119
5482,#NAME?,Physics -LRB- -RRB- is a natural science that involves the study of matter.,-4.265481949
5483,"is made up of several groups of Polynesian islands , the most famous island being Tahiti in the Society Islands group , which is also the most populous island and the seat of the capital of the territory -LRB- Papeete -RRB- .","It is made up of several groups of Polynesian islands, the most famous island being Tahiti in the Society Islands group, which is also the most populous island and the seat of the capital of the territory -LRB- Papeete -RRB-.",-4.597496986
5484,"value , or number , zero is not the same as the digit zero , used in numeral systems using positional notation .",The value zero is not the same as the digit zero used in numeral systems using positional notation.,-3.909776926
5485,areas have a long and close relationship with and often identify with some or all of the Nordic countries .,Several areas often identify with some or all of the Nordic countries.,-5.492077827
5486,is a commune in the Calvados departmnet in the LOCATION@1 region in northwestern LOCATION@2 .,PERSON@1 is a commune. It is found in the region Basse-Normandie in the Calvados department in the northwest of LOCATION@2.,-3.244058609
5487,-LRB- Anethum graveolens -RRB- is a short-lived perennial herb .,Dill is a short-lived perennial herb.,-5.493992329
