source_sentence,gold_sentence,pred
"While the album was commercially successful , Siren Song of the Counter Culture is not Rise Against 's highest charting album on the Billboard 200 , peaking only at # 136 ; subsequent albums The Sufferer & The Witness and Appeal to Reason both charted higher , peaking at # 10 and # 3 respectively .","Despite its big commercial success , Siren Song of the Counter Culture is not Rise Against 's highest charting album on the Billboard 200 , peaking at number 136 ; subsequent albums The Sufferer & The Witness and Appeal to Reason both charted higher , peaking at number 10 and number 3 .","The Sufferer & The Witness and Appeal to Reason both charted higher, reaching # 10 and 3 respectively."
"He is best known for writing '' Das Lied der Deutschen '' , its third stanza now being the national anthem of LOCATION@1 , and a number of popular children 's songs .","He is best known for writing '' Das Lied der Deutschen '' , which is now the national anthem of LOCATION@1 , and a number of popular childrens songs .","He is best known for writing '' Das Lied der Deutschen '', its third stanza now being the national anthem of LOCATION@1."
"In cold climates , underwear may be an additional layer of clothing that helps the wearer keep warm .","In countries where the weather is cold , underwear is one more layer of clothing that helps the wearer to keep warm .","In cold climates, underwear may be an additional layer of clothing that helps the wearer keep warm."
In NUMBER@1 PERSON@1 I of Saxe-Weimar inheritated the Duchy of Saxe-Eisenach .,"PERSON@2 -LRB- NUMBER@2 -- NUMBER@3 -RRB- , son of PERSON@3",In NUMBER@1 PERSON@1 of Saxe-Weimar inherited the Duchy of Saxe-Eisenach.
Waterloo Script was created at the University of Waterloo later .,"Waterloo Script was created later , at the University of Waterloo -LRB- UW , in Canada -RRB- .",Waterloo Script was created at the University of Waterloo later.
"Kerrang magazine , October 7th , 2006 The EP also marked Sarah Jezebel Deva 's debut with the band , replacing Andrea Meyer , Cradle 's first female vocalist and self-styled '' satanic advisor '' .",Sarah Jezebel Deva - Backing Vocals,"The EP also marked Sarah Jezebel Deva's debut with the band, replacing Andrea Meyer, Cradle's first female singer and self-styled '' satanic advisor ''."
"The 1979 season was an average but destructive season with 27 depressions , but only 9 became storms .",Hurricane Bob,"The 1979 season was an average but destructive season with 27 depressions, but only 9 became storms."
"Joanna of Navarre , daughter of Charles II of Navarre -LRB- d. 1437 -RRB-","Joanna of Navarre , daughter of Charles II of Navarre -LRB- died 1437 -RRB-","Joanna of Navarre, daughter of Charles II of Navarre -LRB- died 1437 -RRB-"
"The mean temperature ranges from about in the Central Highlands , where frost may occur for several days in the winter , to a maximum of approximately in other low-altitude areas .",Central,"The mean temperature ranges from about in the Central Highlands, where frost may occur for several days in the winter, to a maximum of approximately in other low-altitude areas."
"John Beaumont , 4th Baron Beaumont , Constable of Dover Castle -LRB- b. 1361 -RRB-","John Beaumont , 4th Baron Beaumont , Constable of Dover Castle -LRB- born 1361 -RRB-","John Beaumont, 4th Baron Beaumont, Constable of Dover Castle"
"PERSON@1 , a political party in LOCATION@1 .",The PERSON@1 is a political party in LOCATION@1 .,"PERSON@1, a political party in LOCATION@1."
"A wide variety of ominous or hellish supernatural dogs occur in mythologies around the world , similar to the ubiquitous dragon .","Many ominous or hellish supernatural dogs are in mythology around the world , similar to the ubiquitous dragon .","A wide variety of ominous or hellish supernatural dogs occur in mythologies around the world, like the ubiquitous dragon."
"Biggar is a town and former burgh in South Lanarkshire , Scotland .","Biggar is a town in South Lanarkshire , Scotland .","Biggar is a town in South Lanarkshire, Scotland."
"Following the resignation of PERSON@1 as Prime Minister and Labor Leader , PERSON@2 became Party Leader and replaced ORGANIZATION@1 Leader PERSON@3 -LRB- who became Prime Minister -RRB- as Leader of the Opposition . She served in both roles until the ORGANIZATION@2 party elected PERSON@4 as Leader .","Following PERSON@5 's resignation as ORGANIZATION@2 leader on NUMBER@1 May NUMBER@2 , PERSON@2 was the acting leader of the ORGANIZATION@3 until PERSON@4 was elected on September NUMBER@3 , NUMBER@2 .",PERSON@2 became the Party Leader and replaced ORGANIZATION@1 Leader PERSON@3 as Leader of the Opposition.
"Although its beginnings were in the House and Home Financing Agency , it was founded as a Cabinet department in 1965 , as part of the '' Great Society '' program of President Lyndon Johnson , to develop and execute policies on housing and metropolises .","Although its beginnings were in the House and Home Financing Agency , it was founded in 1965 to develop and execute policy on housing and cities .","Although its beginnings were in the House and Home Financing Agency, it was started as a Cabinet department in 1965, as part of the '' Great Society '' program of President Lyndon Johnson, to develop and execute policies on housing and metropolises."
"The prosecution entered indictments against 24 major war criminals and six criminal organizations - the leadership of the Nazi party , the Schutzstaffel -LRB- SS -RRB- and Sicherheitsdienst -LRB- SD -RRB- , the Gestapo , the Sturmabteilung -LRB- SA -RRB- and the High Command of the German armed forces -LRB- OKW -RRB- .","The prosecution brought charges against 24 major war criminals and six criminal organizations - the leadership of the Nazi Party , the Schutzstaffel -LRB- SS -RRB- and Sicherheitsdienst -LRB- SD -RRB- , the Gestapo , the Sturmabteilung -LRB- SA -RRB- and the High Command of the German armed forces -LRB- OKW -RRB- .","The prosecution entered indictments against 24 major war criminals and six criminal organizations - the leaders of the Nazi party, the Schutzstaffel -LRB- SS -RRB- and Sicherheitsdienst -LRB- SD -RRB-, the Gestapo, the Sturmabteilung -LRB- SA -RRB- and the High Command of the German armed forces -LRB- OKW -RRB-."
"Founded in 2001 by singer Bill Kaulitz , guitarist Tom Kaulitz , drummer Gustav Schäfer and bassist Georg Listing .",The drummer is Gustav Schäfer and bass-guitarist is Georg Listing .,"It was started in 2001 by singer Bill Kaulitz, guitarist Tom Kaulitz, drummer Gustav Schäfer and bassist Georg Listing."
"As a means of recording the passage of time , the 16th century lasted from NUMBER@1 to NUMBER@2 .",The 16th century is the century from NUMBER@1 to NUMBER@2 .,"As a means of recording the passage of time, the 16th century lasted from NUMBER@1 to NUMBER@2."
"ORGANIZATION@1 is a British charter and scheduled airline based in LOCATION@1 , LOCATION@2 .",ORGANIZATION@1 is a budget airline which is based in the LOCATION@3 .,"ORGANIZATION@1 is a British charter and scheduled airline based in LOCATION@1, LOCATION@2."
"During the history of the spice trade , sailors of the ORGANIZATION@1 of the second expedition of PERSON@1 , PERSON@2 and PERSON@3 who stayed in LOCATION@1 on LOCATION@2 , first reached the Island in NUMBER@1 and developed good contacts with the inhabitants .","During the history of the spice trade sailors of the British ORGANIZATION@2 of the second expedition of PERSON@1 , PERSON@2 and PERSON@3 who stayed in LOCATION@1 on LOCATION@2 first reached the Island in NUMBER@1 . They made good contacts with the people who lived there .","During the history of the spice trade, sailors of the ORGANIZATION@1 of the second expedition of PERSON@1, PERSON@2 and PERSON@3 who stayed in LOCATION@1 on LOCATION@2, first reached the Island in NUMBER@1 and developed good contacts with the inhabitants."
Staicele is a town in Latvia .,Staicele is a town in Latvia with town rights since 1992 .,Staicele is a town in Latvia.
"On 2 October 1788 she took twenty-one male and eleven female convicts to Norfolk Island , returning to Port Jackson on 25 October .",In October 1788 the Golden Grove took 32 convicts from Sydney to the penal colony on Norfolk Island .,"On 2 October 1788, she took twenty-one male and eleven female convicts to Norfolk Island. She returned to Port Jackson on 25 October."
"Brabova is a commune in Dolj County , Romania with a population of 1,776 people .","Brabova is a commune found in Dolj County , Romania .",Brabovi is a commune.
"Warne also scored a property crime risk of 45 , which reflects the combined risks of burglary , larceny and motor vehicle theft .",Warne also scored a property crime risk of 45 .,Warne also scored a property crime risk of 45.
"The season began early , as Tropical Storm Arlene formed on May NUMBER@1 .",However this season a storm formed on May NUMBER@1 .,"The season began early, when Tropical Storm Arlene formed on May NUMBER@1."
A geographical pole -LRB- also geographic pole -RRB- is either of the two points -- the north pole and the south pole -- on the surface of a rotating planet -LRB- or other rotating body -RRB- where the axis of rotation -LRB- or simply '' axis '' -RRB- meets the surface of the body .,Geographical pole means either of two points on the surface of a rotating planet . It is the place the axis meets the surface of the planet .,A geographical pole -LRB- also geographic pole -RRB- is one of the two points -- the north pole and the south pole -- on the surface of a rotating planet -LRB- or other rotating body -RRB- where the axis of rotation -LRB- or simply '' axis '' -RRB- meets the surface of the body.
ORGANIZATION@1 are one of the founder members of the ORGANIZATION@2 .,"Deepdale is a football stadium in LOCATION@1 , LOCATION@2 .",ORGANIZATION@1 are one of the founder members of the ORGANIZATION@2.
"It was first performed at PERSON@1 's ORGANIZATION@1 in LOCATION@1 on June NUMBER@1 , NUMBER@2 , conducted by PERSON@2 and was the first of PERSON@3 's operas to be a critical and popular success .",It was first performed in NUMBER@2 .,"It was first performed at PERSON@1's ORGANIZATION@1 in LOCATION@1 on June NUMBER@1, NUMBER@2."
"This law is also called ORGANIZATION@1 's point rule , ORGANIZATION@1 's junction rule -LRB- or nodal rule -RRB- , and ORGANIZATION@1 's first rule .",This is the same as Kirchhoffs junction law .,"This law is also called ORGANIZATION@1's point rule, ORGANIZATION@1's junction rule -LRB- or nodal rule -RRB-, and ORGANIZATION@1's first rule."
Non-response within five days and\/or his\/her non-appearance will cause forfeiture of slot in the College .,Non-response within five -LRB- 5 -RRB- days and\/or his\/her non-appearance will cause forfeiture of slot in the College .,Non-response within five days and/or his/her non-appearance will cause forfeiture of slot in the College.
"It was adapted into a film named PERSON@1 and the Olympians : The Lightning Thief which was released in the LOCATION@1 on February NUMBER@1 , NUMBER@2 .","It was made into a film named PERSON@1 and the Olympians : The Lightning Thief . The film was first shown in the LOCATION@1 on February NUMBER@1 , NUMBER@2 .","It was made into a movie called PERSON@1 and the Olympians : The Lightning Thief which was released in the LOCATION@1 on February NUMBER@1, NUMBER@2."
"PERSON@1 is a town in the LOCATION@1 district , in LOCATION@2 , LOCATION@3 .","PERSON@1 is a city in LOCATION@2 , LOCATION@3 .","PERSON@1 is a town in the LOCATION@1 district, in LOCATION@2, LOCATION@3."
"Alice in Chains is an American rock band formed in Seattle , Washington , in 1987 by guitarist Jerry Cantrell and original lead vocalist Layne Staley .",Discography,"Alice in Chains is an American rock band from Seattle, Washington."
"During the 1930s , Welty worked as a publicity agent for the Works Progress Administration , a job that sent her around Mississippi .",Welty worked as a publicity agent for the work progress administration .,"During the 1930s, Welty worked as a publicity agent for the Works Progress Administration."
The four-door LOCATION@1 and Villager wagons and the two-door Roundup wagon were based on the NUMBER@1 & Prime ; - wheelbase ORGANIZATION@1 station wagon platform and shared the trim and features of the Ranger and Pacer models .,"The LOCATION@1 , Villager and Roundup were station wagons based on the two smaller Edsel models .",The four-door LOCATION@1 and Villager wagons and the two-door Roundup wagon were based on the NUMBER@1 & Prime ; -wheelbase ORGANIZATION@1 station wagon platform and shared the trim and features of the Ranger and Pacer models.
"The first armored agnathansâ '' the Ostracoderms , precursors to the bony fish and hence to the tetrapods -LRB- including humans -RRB- â '' are known from the middle Ordovician , and by the Late Silurian the agnathans had reached the high point of their evolution .","Not to be confused with the Osteichthyes -LRB- '' bony fish '' -RRB- , who were ancestors of the bony fish , and hence of tetrapods -LRB- including human beings -RRB- . By the upper Silurian the Agnathans had reached the high point of their evolution .","The first armored agnathansâ '' the Ostracoderms, precursors to the bony fish and hence to the tetrapods -LRB- including humans -RRB-, were known from the middle Ordovician, and by the Late Silurian the agnathans had reached the high point of their evolution."
"God , seeing the wickedness of man , is grieved by his creation and resolves to send a great flood .",The well-known 16th-century geometrician Johannes Buteo worked out the ships internal dimensions .,"God, seeing the wickedness of man, is grieved by his creation and resolves to send a great flood."
"The second theme is more graceful and in D major , the dominant key of G major .","A short while after the famous opening theme comes a second theme which is more graceful and in D major , the dominant key of G major .","The second theme is in D major, the dominant key of G major."
"The screenplay is by PERSON@1 based on the play that was based on the book My LOCATION@1 Father by ORGANIZATION@1 NUMBER@1 PERSON@2 , PERSON@3 The Perennial Philadelphians : The Anatomy of an ORGANIZATION@2 .",'' Strengthen The Dwelling '',"The screenplay is by PERSON@1 based on the book My LOCATION@1 Father by ORGANIZATION@1 NUMBER@1 PERSON@2, PERSON@3 The Perennial Philadelphians : The Anatomy of an ORGANIZATION@2."
"The Cardinals were founded in 1898 , and are the oldest continuously run professional American football club in the United States .","They are the oldest continuous professional American football club in the United States , founded in 1898 in Chicago , Illinois .","The Cardinals were founded in 1898, and are the oldest continuously run professional American football club in the United States."
"On October NUMBER@1 it transitioned into an extratropical cyclone , and the next day the remnants of PERSON@1 were absorbed by another extratropical storm over LOCATION@1 .","On October NUMBER@1 , it turned into an extratropical cyclone , and the next day , the remnants of PERSON@1 were absorbed by another extratropical storm over LOCATION@1 .","On October NUMBER@1 it became extratropical cyclone, and the next day the remnants of PERSON@1 were absorbed by another extratropical storm over LOCATION@1."
Immediately beyond the LOCATION@1 discharge to the LOCATION@2 is the coastal town of LOCATION@3 .,"Just north of the LOCATION@1 mouth is the small town of LOCATION@3 , and the beach , LOCATION@4 .",Immediately beyond the LOCATION@1 discharge to the LOCATION@2 is the coastal town of LOCATION@3.
"PERSON@1 -LRB- born January NUMBER@1 , NUMBER@2 -RRB- , who performs under stage name PERSON@2 , is a Jamaican Grammy winning reggae singer & rapper who is the former lead vocalist of the Dutty Cup Crew .","PERSON@1 -LRB- born January NUMBER@1 , NUMBER@2 -RRB- is a popular and well-known Jamaican reggae and dancehall musician . He is also known by nickname , PERSON@2 .","PERSON@1 -LRB- born January NUMBER@1, NUMBER@2 -RRB-, who performs under the stage name PERSON@2, is a Jamaican reggae singer."
"History The province was part of the old La Altagracia Province , which split into 2 , La Altagracia Province and La Romana Province in February 27 , 1961 .","In 27 February 1961 , the La Romana province was split in two provinces : La Romana and La Altagracia .","History The province was part of the old La Altagracia Province which was split into 2, La Altagracia Province and La Romana Province in February 27, 1961."
"The Cybermen also use smaller , cybernetic creatures called '' cybermats '' as weapons of attack .","The Cybermen also use smaller , cybernetic creatures called '' cybermats '' to attack .",The Cybermen also use smaller cybernetic creatures as weapons of attack.
"They are marine animals with a leathery skin and an elongated body containing a single , branched gonad .",Some species of coral reef sea cucumbers defend themselves by expelling sticky cuvierian tubules to entangle potential predators .,"They have a leathery skin and an elongated body containing a single, branched gonad."
Author and critic PERSON@1 described a mania that started to develop for PERSON@2 in the NUMBER@1 as '' Austenolatry '' â '' it was only after the publication of the Memoir that readers developed a personal connection with PERSON@2 .,Writer and critic PERSON@1 described a mania for PERSON@2 that grew in the NUMBER@1 as '' Austenolatry '' . It was only after the the Memoir was printed that readers grew to like PERSON@2 as a person .,Author and critic PERSON@1 described a mania that started to develop for PERSON@2 in the NUMBER@1 as '' Austenolatry ''. It was only after the Memoir that readers developed a personal connection with PERSON@2.
"U.S. Route 9 is a north -- south United States highway in the states of Delaware , New Jersey , and New York in the United States .","U.S. Route 9 is a United States highway in the states of Delaware , New Jersey , and New York .","U.S. Route 9 is a highway in the states of Delaware, New Jersey, and New York."
"In 1976 , he obtained his PhD with a thesis on the relationship between the Slovenian Christian Socialist movement and the Communist Party of Slovenia within the Liberation Front of the Slovenian People , which was still a controversial topic at the time .","He obtained his PhD in 1976 with thesis on the relationship between the Slovenian Christian Socialist movement and the Communist Party of Slovenia within the Liberation Front of the Slovenian People , which at the time was a somehow problematic topic .",In 1976 he obtained his PhD on the relationship between the Slovenian Christian Socialist movement and the Communist Party of Slovenia within the Liberation Front of the Slovenian People.
"It was founded by Milton S. Hershey in 1894 as the Hershey Chocolate Company , a subsidiary of his Lancaster Caramel Company .",The company was founded by Milton S. Hershey in 1894 as the Hershey Chocolate Company .,Hershey Chocolate Company was founded by Milton S. Hershey in 1894.
Life Story -LRB- ORGANIZATION@1 -RRB- -LRB- LOCATION@1 Title : The Race for the Double Helix -RRB- -LRB-/O1987/O-RRB-,The Race for the Double Helix -LRB-/O1986/O-RRB-,Life Story -LRB- ORGANIZATION@1 -RRB-
Most of the mined caesium -LRB- as salts -RRB- is directly converted into caesium formate -LRB- HCOOâ ' Cs + -RRB- for applications such as oil drilling .,Caesium forms compounds with many other chemical elements . Caesium formate is used in oil drilling because of its high density .,Most of the mined caesium -LRB- as salts -RRB- is directly converted into caesium formate -LRB- HCOOâ'Cs + -RRB- for applications such as oil drilling.
The scaphoid contributes to the stability of the midcarpus as it articulates distally with the trapezium and the trapezoid .,Trapezium,The scaphoid contributes to the stability of the midcarpus as it articulates distally with the trapezium and the trapezoid.
"PERSON@1 , PERSON@2 of LOCATION@1 and LOCATION@2","PERSON@3 , 1st Earl of PERSON@4","PERSON@1, PERSON@2 of LOCATION@1"
"The player therefore has the choice of either sticking with the original choice of door , or choosing the sum of the contents of the two other doors , as the 2\/3 chance of hiding the car has not been changed by the opening of one of these doors .","The chance of the car being somewhere behind the other two doors is two out of three . So to improve his chance of winning a car , the player if given the choice , should swap his one door for the other two doors right away .","The player has the choice of either sticking with the original choice of door, or choosing the sum of the contents of the two other doors."
"Many years later , when Max is in middle school , he finds out that Freak and his mother , Guinevere -LRB- referred to as '' The Fair Gwen '' after King Arthur 's wife -RRB- are moving into the house next door .","Many years later when Max is in middle school , the real story begins .","Many years later, when Max is in middle school, he finds out that Freak and his mother Guinevere are moving into the house next door."
"Peace , Power and the University : Prepared for Students for a Democratic Society and the Peace Research and Education Project .","Ann Arbor : Peace Research and Education Project , 1963 .","Peace, Power and the University : Prepared for Students for a Democratic Society and the Peace Research and Education Project"
"His racing career was cut short by illness after only one year , following which he spent two years as a show horse .","His racing career was cut short by illnesses . After racing , he became a show horse and a roping horse .","His racing career was cut short by illness after only one year, after which he spent two years as a show horse."
Distinguish from Begga and Bega .,"Some shelters also offer business cards with information on the shelters location and services , which can be given instead of cash .",Distinguish from Begga and Bega.
The Cat Who Could Read Backwards -LRB-/O1966/O-RRB-,The Cat Who Tailed a Thief,The Cat Who Could Read Backwards
"Original member PERSON@1 left the group on June NUMBER@1 , NUMBER@2 to start a family , LOCATION@1 -LRB- NUMBER@2 -RRB- .","PERSON@2 left the group on January NUMBER@1 , NUMBER@2 .","PERSON@1 left the group on June NUMBER@1, NUMBER@2."
"Nicola Pisano -LRB- also called NiccolÃ Pisano , Nicola de Apulia or Nicola Pisanus ; c. 1220\/1225 -- c. 1284 -RRB- was an Italian sculptor whose work is noted for its classical Roman sculptural style .",Nicola Pisano -LRB- also called NiccolÃ Pisano and Nicola de Apulia -RRB- -LRB- c. 1220\/1225 -- c. 1284 -RRB- was an Italian sculptor who is best known for the works that he made for Pisa Cathedral .,"Nicola Pisano -LRB- also called Niccol Pisano, Nicola de Apulia or Nicola del Pisanus ; c. 1220-1225 -- c. 1284 -RRB- was an Italian sculptor."
Pakistan opposes Iraq war - BBC News Pakistan was under pressure by the public to vote against the war although some had been considering a vote for the war .,Pakistan was under pressure by the public to vote against the war although some had been considering a vote for the war .,Pakistan opposes Iraq war - BBC News Pakistan was under pressure by the public to vote against the war although some had been considering a vote for the war.
"Lachlan Mitchell born 30 September , 1987 in Australia is a rugby union player for London Wasps in the Guinness Premiership and Heineken Cup .",Other websites,Lachlan Mitchell -LRB- born 30 September 1987 -RRB- is a former Australian rugby union player.
"The Afrika Korps were never accused of any war crimes , and PERSON@1 himself referred to the fighting in LOCATION@1 as PERSON@2 ohne PERSON@3 -- war without hate .","The Afrika Korps was never accused of any war crimes , and PERSON@1 himself referred to the fighting in LOCATION@1 as PERSON@2 ohne PERSON@3 -- war without hate .",The Afrika Korps were never accused of any war crimes.
"PERSON@1 also reorganized the new empire , the Tahuantinsuyu or '' the united four provinces . ''","PERSON@1 reorganized the new empire , the Tahuantinsuyu or '' the united four provinces . ''","PERSON@1 also reorganized the new empire, the Tahuantinsuyu or '' the united four provinces. ''"
"Discovered on NUMBER@1 October NUMBER@2 by PERSON@1 , it is named for a sky spirit in PERSON@2 's The Rape of the Lock and PERSON@3 's The Tempest .","PERSON@4 was found on October NUMBER@1 , NUMBER@2 by PERSON@1 .",It was found on NUMBER@1 October NUMBER@2 by PERSON@1.
"The band was originally called The ORGANIZATION@1 , but was shortened to The Elves and finally PERSON@1 in mid-1970 .",The band was previously called the ORGANIZATION@1 .,The band was originally called The Elves -LRB- ORGANIZATION@1 -RRB- in mid-1970.
"The Quadrangle of Springfield features five distinct museums and the Dr. Seuss memorial sculpture garden , honoring the popular Springfield artist and author .",Dr. Seuss lived in Springfield . Many of his books are about his childhood in Springfield .,"The Quadrangle of Springfield has five distinct museums and the Dr. Seuss Memorial sculpture garden, honoring the popular Springfield artist and author."
"The album produced three # 1 singles on the Hot Country Songs charts : '' Days Go By '' , '' Making Memories of Us '' and '' Better Life '' , as well as the # 2 hits '' You 're My Better Half '' and '' Tonight I Wan/Ona Cry '' ; '' Live to Love Another Day '' also peaked at # 48 on the country charts without being released to radio .",2004 - '' Days Go By '',The album also has three #1 singles on the Hot Country Songs chart : '' Days Go By '' Making Memories of Us '' and '' Better Life ''.
"Leberkäse is said to have been invented in 1776 by the cook of Charles Theodore , Elector of Bavaria , although this story has been heavily contested .","Some local variants must contain even more liver ; for example , the liver content of '' Stuttgarter Leberkäse '' must be at least 5 % .","It is said to have been invented in 1776 by the cook of Charles Theodore, Elector of Bavaria."
"Wb NUMBER@1 , 227.4-14 which means '' the land of reeds .",Under the Ptolemies the city of LOCATION@1 took over the role of capital of LOCATION@2 .,"Wb NUMBER@1, 227.4-14 which means '' the land of reeds."
ORGANIZATION@1 news LOCATION@1,ABC,ORGANIZATION@1 news
The BMI value can be calculated with the following formula .,This is the formula .,The BMI value can be calculated with the following formula.
"The ORGANIZATION@1 should not be confused with the ORGANIZATION@2 , which potentially also has global jurisdiction .","Elections are staggered , thus five judges -LRB- one-third of the Court -RRB- come up for election every three years .","The ORGANIZATION@1 should not be confused with the ORGANIZATION@2, which potentially also has global jurisdiction."
"'' Chanakya : the pioneer economist of the world '' , ORGANIZATION@1 NUMBER@1 -LRB- NUMBER@2 -RRB- , p. NUMBER@3 .","PERSON@1 NUMBER@4 '' while in his character as author of an artha h stra he is generally referred to by his gotra name , PERSON@2 . ''","'' Chanakya : the pioneer economist of the world '', ORGANIZATION@1 NUMBER@1 -LRB- NUMBER@2 -RRB-, p. NUMBER@3."
"A Republican lawyer from Vermont , Coolidge worked his way up the ladder of Massachusetts state politics , eventually becoming governor of that state .",Coolidges,"A Republican lawyer from Vermont, Coolidge worked his way up the ladder of Massachusetts state politics, eventually becoming governor of that state."
Furbys sold for over US$ NUMBER@1 in newspapers and in auctions .,Furbies sold for over US$ NUMBER@1 in newspapers and in auctions .,Furbys sold for over US$ NUMBER@1 in newspapers and auctions.
PERSON@1 was one of the most powerful punchers and jabbers in the history of boxing .,"PERSON@1 continued to box , but died from a drug overdose in NUMBER@1 .",PERSON@1 was one of the most powerful punchers and jabbers in boxing.
"Julia Gardiner Tyler -LRB- May 4 , 1820 or July 29 , 1820 -- July 10 , 1889 -RRB- , second wife of John Tyler , was First Lady of the United States from June 26 , 1844 , to March 4 , 1845 .","Julia Gardiner Tyler -LRB- July 23 , 1820 - July 10 , 1889 -RRB- was the second wife of John Tyler , the tenth President of the United States . She was the First Lady of the United States from June 26 , 1844 to March 4 , 1845 .","Julia Gardiner Tyler -LRB- May 4, 1820 -- July 29, 1820 - July 10, 1889 -RRB- was the second wife of John Tyler."
"In NUMBER@1 , the poetry award was granted for the first time .",PERSON@1,"In NUMBER@1, the poetry award was given for the first time."
"February 11 & ndash ; The University of Missouri is established , becoming the first public university west of the Mississippi River .",Abd-ul-Mejid becomes emperor of the Ottoman Empire .,"February 11 - The University of Missouri is established, becoming the first public university west of the Mississippi River."
"George Clymer -LRB- March 16 , 1739 & ndash ; January 24 , 1813 -RRB- was an American politician and founding father .",USS George Clymer -LRB- APA-27 -RRB- was named in his honor .,"George Clymer -LRB- March 16, 1739 â '' January 24, 1813 -RRB- was an American politician and founder."
"ORGANIZATION@1 is a NUMBER@1 American slapstick buddy-comedy film directed by PERSON@1 , produced by PERSON@2 and PERSON@3 , and stars PERSON@4 and PERSON@5 , who last teamed up in ' -LRB-/O2006/O-RRB- .",Websites,"ORGANIZATION@1 is a NUMBER@1 American slapstick buddy-comedy movie directed by PERSON@2 and PERSON@3, and stars PERSON@4 and PERSON@5."
Neuvireuil is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France.
"Radiation on the short-wavelength end of the electromagnetic spectrum -- high frequency ultraviolet , x-rays , and gamma rays -- is ionizing .","gamma radiation , which is high-energy electromagnetic waves","Radiation on the short-wavelength end of the electromagnetic spectrum -- high frequency ultraviolet, x-rays, gamma rays -- is ionizing."
"For example , someone might want to create a '' kilograms-per-centimetre '' -LRB- kg\/cm -RRB- as a variation of the typical kg-per-metre conversion '' kg\/m '' , by copying '' Template : Convert\/kg\/m '' as new name '' Template : Convert\/kg\/cm '' and altering the contents , as described below .","For example , someone might want to use '' kilograms-per-centimetre '' -LRB- kg\/cm -RRB- as a variation of the typical per-metre conversion -LRB- using '' kg\/m '' -RRB- :","For example, someone might want to create a '' kilograms-per-centimetre '' -LRB- kg/cm -RRB- as a variation of the typical kg-per-metre conversion '' kg/m '', by copying '' Template : Convert/kg/m '' as new name '' Template : Convert/kg/cm '' and changing the contents, as"
"Dieter Burdenski -LRB- born 26 November 1950 in Bremen , Germany -RRB- is a former German football player .",He has played for West Germany national team .,Dieter Burdenski -LRB- born 26 November 1950 -RRB- is a former German football player.
"PERSON@1 -LRB- September NUMBER@1 , NUMBER@2 - April NUMBER@3 , NUMBER@4 -RRB- was a meteorologist for ORGANIZATION@1 affiliate ORGANIZATION@2 in LOCATION@1 , LOCATION@2 .","PERSON@1 -LRB- September NUMBER@1 , NUMBER@2 - April NUMBER@3 , NUMBER@4 -RRB- was a weather man for NBCs channel ORGANIZATION@2 in LOCATION@1 , LOCATION@2 .","PERSON@1 -LRB- September NUMBER@1, NUMBER@2 - April NUMBER@3, NUMBER@4 -RRB- was a meteorologist for ORGANIZATION@1 in LOCATION@1, LOCATION@2."
"He worked extensively on tiny , highly detailed , engravings , many as small as postage stamps , placing him in the German printmaking school known as the '' Little Masters '' from the size of their prints .","He worked on small , very detailed engravings -LRB- sometimes as small as a postage stamp -RRB- .","He worked extensively on tiny engravings, many as small as postage stamps."
"The SS Regiment Germania was used as the basis for the new SS Division , 11th SS Volunteer Panzergrenadier Division PERSON@1 and PERSON@2 was given command of the 11th SS ORGANIZATION@1 , being awarded the German Cross in Gold in August NUMBER@1 , followed by the ORGANIZATION@2 in December NUMBER@1 .","The SS Regiment Germania was used as the start of the new SS Division , 11th SS Volunteer Panzergrenadier Division PERSON@1 and PERSON@2 was given command of the 11th SS ORGANIZATION@1 being awarded the German Cross in Gold in August NUMBER@1 , and then the ORGANIZATION@2 in December NUMBER@1 .",The 11th SS ORGANIZATION@1 was given command of in August NUMBER@1.
In 1805 he succeeded his elder brother as heir to his father 's title and he married Lady Caroline Ponsonby .,Lamb became Lord Melbourne when his father died .,In 1805 he married Lady Caroline Ponsonby.
History Keynote began as a software program for ORGANIZATION@1 CEO PERSON@1 to use in creating the presentations for Macworld Conference and Expo and other ORGANIZATION@1 keynote events .,"History Keynote was a software program that PERSON@1 , the chief executive officer of ORGANIZATION@1 used for his own presentations .",Keynote started as a software program for ORGANIZATION@1 CEO PERSON@1 to use in creating the presentations for Macworld Conference and Expo and other ORGANIZATION@1 events.
NUMBER@1 NZST -LRB- NUMBER@2 ORGANIZATION@1 NUMBER@3 September -RRB-,NUMBER@1 NZST -LRB- NUMBER@2 UTC September NUMBER@3 -RRB-,NUMBER@1 NZST -LRB- NUMBER@2 ORGANIZATION@1
"BASIC , PERSON@1 , and PERSON@2 are examples of immediately executed computer programs .",Some examples of computer programs :,"BASIC, PERSON@1, and PERSON@2 are examples of immediately executed computer programs."
"In terms of deaths per capita , driver-sales work such as pizza delivery is a more dangerous profession than being a police officer .",Being a police officer can be dangerous .,Driver-sales work such as pizza delivery is a more dangerous profession than being a police officer.
ORGANIZATION@1 is a professional association football -LRB- soccer -RRB- club based in LOCATION@1 in LOCATION@2 .,ORGANIZATION@1 is a football club which plays in LOCATION@2 .,ORGANIZATION@1 is a football club which plays in LOCATION@2.
