source_sentence,simplified_sentence
1990 & ndash ; Lithuania declares itself independent from the Soviet Union .,1990 - Lithuania declares itself independent from the Soviet Union .
"Patti Deutsch -LRB- born December 16 , 1945 ; Pittsburgh , Pennsylvania -RRB- is a voice artist and comedic actress . In the 1970s she was a frequent panelist on Match Game .","Patti Deutsch -LRB- born December 16 , 1945 , in Pittsburgh , Pennsylvania -RRB- is an American actress who is best known for appearing the television game show Match Game in the 1970s ."
Dienville is a commune in the Aube department in north-central France .,Dienville is a commune of the Aube département in the north-central part of France .
Pura lies nestled in chestnut tree covered slopes of the Malcantone region of Ticino .,Pura is a municipality of the district Lugano in the canton of Ticino in Switzerland .
The town of LOCATION@1 is the capital of LOCATION@2 and capital of LOCATION@3 .,The capital of the LOCATION@2 is LOCATION@1 town .
"The spines are essentially moveable extensions of the body wall , and are hollow and covered by cuticle .","The spines are moveable extensions of the body wall , and are hollow and covered by cuticle ."
"In 1851 , she made a study-trip to Paris with her teacher Carl Gustaf Qvarnström and her brother Pehr Henrik , were she worked with the sculptor Toussaint , the printmaker Barre and her maternal uncle , the medal designer Johan Salmson .","In 1851 , she made a study-trip to Paris with her teacher Carl Gustaf Qvarnström and her brother Pehr Henrik ."
Functions need not act on numbers : the domain and codomain of a function may be arbitrary sets .,"Even though the underlying structures are sets , mathematicians talk about domain and codomain of a function . Each element of the domain will be associated with one element of the codomain ."
"During the Civil War -LRB- 1861 â '' 65 -RRB- , postal services in the Confederacy were provided by the CSA Post Office Department , headed by Postmaster General John Henninger Reagan .","During the Civil War , postal services in the Confederacy were provided by the Confederate States of America Post Office Department , headed by Postmaster General John Henninger Reagan ."
"The Sanatorium of Bellevue -LRB- 1857 â '' 1980 -RRB- , which occupied part of the old monastery , played an important role in the history of Kreuzlingen .","w : The Sanatorium of Bellevue -LRB- 1857-1980 -RRB- , which occupied part of the old monastery , played an important role in the history of Kreuzlingen ."
"However , the rapidly falling water table meant a drop of the water 's depth to 60 ' \/O/ 18m within a dozen years .","However , the rapidly falling level of the water meant a drop of the water 's depth to 60 ' \/O/ 18m within a dozen years ."
Kirchleerau is a municipality in the district of Zofingen in the canton of Aargau in Switzerland .,Kirchleerau is a municipality of the district of Zofingen in the canton of Aargau in Switzerland .
"Western Darfur is dominated by the third feature , basement rock , sometimes covered with a thin layer of sandy soil .","The west of Darfur is dominated by the third feature , basement rock , sometimes covered with a thin layer of sandy soil ."
"As the practical use of the town crier has disappeared , the function became part of the local folklore .",The need for town criers has disappeared and they became part of the local folklore .
"The Treaty on the Final Settlement with Respect to LOCATION@1 was signed in LOCATION@2 , LOCATION@3 , on NUMBER@1 September NUMBER@2 , and that paved the way for German reunification on NUMBER@3 October NUMBER@2 .","This is because LOCATION@1 united under one government on NUMBER@3 October NUMBER@2 , three weeks after the treaty was signed ."
Many showed signs of serious injury and violent death .,Many showed signs of injury and violent death .
The Opel Combo is a panel van and leisure activity vehicle from the German automaker Opel .,The Opel Combo is a Panel Van and Lesuire Activity Vehicle made by the german company Opel .
Saligny is a commune in the VendÃ e department in the LOCATION@1 region in western LOCATION@2 .,It is found in the region Pays de la LOCATION@3 in the VendÃ e department in the west of LOCATION@2 .
"On the journey to Rivendell , Frodo is wounded by the Ringwraiths who continue in close pursuit .",The hobbits continue their journey to Rivendell with Aragorn .
PERSON@1 is a commune in the LOCATION@1 department in the region of LOCATION@2 in northwestern LOCATION@3 .,It is found in the region Pays de la LOCATION@4 in the LOCATION@1 department in the west of LOCATION@3 .
"A role or a social role is a set of connected behaviors , rights and obligations as conceptualized by actors in a social situation .","More precisely one could say it is a set of connected behaviors , rights and obligations that a person has to follow in a social situation ."
BrÃ 1\/4 nnhilde seizes the tip of the spear and swears that they are true .,"He tells people how he tricked BrÃ 1\/4 nnhilde and swears that a sword lay between them during the night , although BrÃ 1\/4 nnhilde tries to make people think otherwise ."
"During her high school years , she acted and sang in a number of high school productions , including the starring roles in the musicals Annie and Fiddler on the Roof .","During her high school years , Messing acted and sang in a number of high school productions ."
"The Crinkle-collared Manucode , Manucodia chalybatus is a medium-sized , up to 36 cm long , greenish blue , black and purple glossed bird of paradise with long graduated tail , red iris and iridescent green breast feathers .","The Crinkle-collared Manucode -LRB- Manucodia chalybatus -RRB- is a medium-sized bird of paradise , that grows up to 36cm long . It looks greenish blue , black and purple glossed with long tail , red iris and iridescent green breast feathers ."
"This bird 's name is for the American ornithologist -LRB- bird expert -RRB- , PERSON@1 .","This bird is named after the American ornithologist -LRB- bird expert -RRB- , PERSON@1 ."
"For example : -LRB- plant -RRB- Amaranthus retroflexus L. , and -LRB- animal -RRB- Passer domesticus -LRB- PERSON@1 , NUMBER@1 -RRB- â '' the latter was described by PERSON@1 as Fringilla domestica .","For example : Amaranthus retroflexus L. or Passer domesticus -LRB- PERSON@1 , NUMBER@1 -RRB- - the latter was originally described as member of the genus Fringilla , hence the parentheses ."
It was one of the host stadiums for the NUMBER@1 ORGANIZATION@1 .,The stadium will host the NUMBER@1 ORGANIZATION@1 .
Flora was educated in Cottisford and worked in various post offices in southern England .,Flora was educated in the village Cottisford and worked in various post offices in southern England .
"PERSON@1 -LRB- born October NUMBER@1 , NUMBER@2 -RRB- is a former Japanese football player .",PERSON@1 -LRB- born NUMBER@1 October NUMBER@2 -RRB- is a former Japanese football player .
"With an assessed readership of NUMBER@1 upon a distributed circulation of NUMBER@2 , the paper is one of the most widely circulated and well-respected alternative newspapers in LOCATION@1 .","With an assessed readership of NUMBER@1 upon a distributed circulation of NUMBER@2 , the paper is one of the most widely read and well-liked newspapers in LOCATION@1 ."
"Compasses are usually made of metal , and consist of two parts connected by a hinge which can be adjusted .","Construction Compasses are usually made of metal , and consist of two parts called legs connected by a hinge which can be adjusted ."
"Posted to the PERSON@1 , he proved himself an indefatigable but unlucky hunter of bushrangers .",He showed he was a busy but unlucky hunter of bushrangers .
"The marriage was not a great success , although they reigned together until their divorce in 1170 and produced two daughters together .","Marie and Matthew ruled Boulogne together , but their marriage was not happy and they got a divorce in 1170 ."
"Mercantilism is an economic theory , thought to be a form of economic nationalism , that holds that the prosperity of a nation is dependent upon its supply of capital , and that the global volume of international trade is '' unchangeable '' .","For this reason , mercantliism is seen as a form of economic nationalism , that holds that the prosperity of a nation is dependent upon its supply of capital , and that the global volume of international trade is '' unchangeable '' ."
The division of ancient LOCATION@1 into nomes can be traced back to the Predynastic Period -LRB- before NUMBER@1 BC -RRB- .,The division of ancient LOCATION@1 into nomes happened before NUMBER@1 BC .
makeover reality television show launched by the ORGANIZATION@1 in NUMBER@1 .,What Not to Wear is a makeover reality show that is aired on the ORGANIZATION@1 .
"` Poop bags ' are alternatives to pooper scoopers , and are simply a bag , usually turned inside out , to carry the feces to a proper disposal area .","The â poop bagâ is usually turned inside out , to carry the feces to a proper disposal area ."
"August 21 -- Minamoto no Yoritomo is granted the title of shogun , thereby officially establishing the first shogunate in the history of Japan .","Minamoto no Yoritomo granted title of shogun , thereby officially establishing the first shogunate in the history of Japan ."
"Starting as a weekly in the mid-1920s , the magazine is now published NUMBER@1 times per year , with five of these issues covering two-week spans .","Though it was formerly a weekly magazine , it now publishes a new issue NUMBER@1 times a year , with five longer two-week issues ."
"It deals with the physical lithologic , or rock type , change both vertically in layering or bedding of varying rock type and laterally reflecting changing environments of deposition , known as facies change .",Lithostratigraphy deals with the physical rock type and how it changes from place to place . Changes in the rock -LRB- facies change -RRB- reflect changing environments of deposition .
"With the widespread establishment of power grids , power transmission is usually associated most with electric power transmission .","With widespread establishment of power grids , power transmission has came to be associated most often with electric power transmission ."
"Charles Ludwig von Sickingen-Ebernburg , the abbot of the abbey at KornelimÃ 1\/4 nster later ordered to rebuild the damaged unfinished building .",The abbot of the abbey at KornelimÃ 1\/4 nster ordered to rebuild the damaged building .
"LOCATION@1 then became the administrative capital of the whole of LOCATION@2 , with LOCATION@3 the legislative capital .","In NUMBER@1 , LOCATION@1 then became the administrative capital of all of LOCATION@2 , with LOCATION@3 the legislative capital ."
"He appealed to the competing car manufacturers for an agreement where the independent -LRB- and , on the whole , financially weaker -RRB- teams in Formula One would get cheaper engine deals than at present .",He asked to the other car manufacturers for help . He wanted an agreement where the independent teams in Formula One would get cheaper engine deals .
Many community centres and schools run evening or day classes and workshops offering to teach basic craft skills in a short period of time .,Many community centres and schools have evening or day classes and workshops where one can learn arts and craft skills .
"This involved general station maintenance , rolling stock maintenance and track maintenance .","The works included general station maintenance , rolling stock maintenance and track maintenance ."
"John Jay -LRB- December 12 , 1745 -- May 17 , 1829 -RRB- was an American politician , statesman , revolutionary , diplomat , a Founding Father of the United States , and the first Chief Justice of the United States -LRB- 1789 â '' 95 -RRB- .","John Jay -LRB- December 12 , 1745 â '' May 17 , 1829 -RRB- was an American politician , statesman , revolutionary , diplomat , a Supreme Court Chief Justice , and a Founding Father of the United States ."
"Fasciola hepatica , also known as the common liver fluke or sheep liver fluke , is a parasitic flatworm of the class Trematoda , phylum Platyhelminthes that infects liver of various mammals , including humans .","Fasciola hepatica , also known as the common liver fluke or sheep liver fluke , is a parasitic flatworm of the class Trematoda , that infects liver of various mammals , including humans ."
"Northern Rhodesia was a territory in south central Africa , formed in 1911 .",Northern Rhodesia was a territory in south central Africa .
"Davina McCall -LRB- born Davina Lucy Pascale McCall on 19 October 1967 -RRB- is an English television presenter and actress , most notable as the presenter of the UK version of Big Brother .",Davina Lucy Pascale McCall -LRB- born 16 October 1967 -RRB- is an English television presenter .
"He claims that in PERSON@1 's '' Rohm Purge '' speech to the Reichstag on July NUMBER@1 , NUMBER@2 , the third group of '' pathological enemies of the state '' that PERSON@1 lists are , in fact , the Freikorps fighters .","PERSON@2 also says that in PERSON@1 's ` Rohm Purge ' speech to the Reichstag on July NUMBER@1 , NUMBER@2 , that PERSON@1 said that the Freikorps were enemies of LOCATION@1 ."
"The character PERSON@1 was invented to please her daughter PERSON@2 , who was ill and bed-ridden at the time .","However , PERSON@1 , her most famous character , was invented for her daughter PERSON@2 , who was , at the time , ill and had to stay in the bed ."
Next album = ' -LRB-/O2002/O-RRB-,This album = The Best of Me -LRB-/O1999/O-RRB-
"Judith Chapman -LRB- born Judith Shepard on November 15 , 1945 in Greenville , South Carolina -RRB- is an actress known to fans of American daytime television .","Judith Chapman -LRB- born Judith Shepard on November 15 , 1945 in Greenville , South Carolina -RRB- is an actress well known to fans of daytime television in the United States ."
"DobreÅ ti is a commune in LOCATION@1 , LOCATION@2 with a population of NUMBER@1 people .","DobreÅ ti is a commune found in LOCATION@1 , LOCATION@2 ."
Kapingamarangi is an atoll and a municipality in the state of Pohnpei of the Federated States of Micronesia .,Kapingamarangi is an atoll in the Pacific Ocean . It is part of the Federated States of Micronesia .
"The lighting conditions in 's part of the orbit were different during these two observations , however , with the discovery being made when the region was strongly backlit by the sun .","The lighting conditions in 's part of the orbit were different during these two sightings , however , with the discovery being made when the area was strongly backlit by the sun ."
Methods to place a monetary value on ecosystem services where there are no market prices include '' stated preference '' methods and '' revealed preference '' methods .,Methods to estimate the value of ecosystem services which can not be derived from market prices include '' stated preference '' methods and '' revealed preference '' methods .
Clouds and new thunderstorms also develop along the outflow 's leading edge .,"Clouds , hydrometeors and new thunderstorms can also develop along the outflow 's leading edge ."
"ORGANIZATION@1 originally broadcasted PERSON@1 's Comet from NUMBER@1 pm to NUMBER@2 pm EST on July NUMBER@3 , NUMBER@4 .",ORGANIZATION@1 originally broadcasted PERSON@1 's Comet from NUMBER@1 pm to NUMBER@2 pm EST on NUMBER@3 July NUMBER@4 .
PERSON@1 -LRB- NUMBER@1 February NUMBER@2 -- NUMBER@3 February NUMBER@4 -RRB- was a football -LRB- soccer -RRB- player and coach .,"PERSON@1 -LRB- born NUMBER@1 February , NUMBER@2 -RRB- is a former Scottish football player ."
Feistel ciphers are an important class of product ciphers .,Feistel ciphers are another important class of product ciphers .
The major exception to the convention that the number tracks the order of discovery or determination of orbit is the case of LOCATION@1 .,The major exception to the convention that the number tracks the order they were or the order that they 're orbit was calculated is the case of Pluto .
"PERSON@1 is a town and union council of LOCATION@1 in the LOCATION@2 , it has a population of NUMBER@1 .",PERSON@1 is a town and ORGANIZATION@1 in the LOCATION@3 of LOCATION@4 . It has a population of NUMBER@1 .
The first issue to be published under his brief command was the July NUMBER@1 issue -- sent to the printer in May NUMBER@1 -- which featured Beyoncé on the cover .,The first issue to be published once he took over was the July NUMBER@1 issue -- sent to the printer in May NUMBER@1 -- which had Beyoncé on the cover .
"Anastasia : The Mystery of PERSON@1 -LRB- Sometimes referred to as Anastasia : The Story of PERSON@1 -RRB- is a NUMBER@1 ORGANIZATION@1 and Emmy Award-winning TV movie , starring PERSON@2 , PERSON@3 and PERSON@4 .","Anastasia : The Mystery of PERSON@1 -LRB- Sometimes called Anastasia : The Story of PERSON@1 -RRB- is a NUMBER@1 ORGANIZATION@1 and Emmy Award-winning TV movie , starring PERSON@2 and PERSON@3 ."
"On December 11 , 2008 , Carter celebrated his 100th birthday at Carnegie Hall in New York , where the Boston Symphony Orchestra and pianist Daniel Barenboim played his Interventions for Piano and Orchestra from 2008 .","He recently composed a piece called Interventions for Piano and Orchestra which was given its first performance in the Symphony Hall , Boston where it was played by the Boston Symphony Orchestra conducted by James Levine with the pianist Daniel Barenboim as soloist . The same players played it again a week later on 11 December 2008 in the Carnegie Hall , New York to celebrate Carter 's 100th birthday ."
Boyaval is a commune in the LOCATION@1 department in the LOCATION@2 region of LOCATION@3 .,It is found in the region Nord-Pas-de-Calais in the LOCATION@1 department in the north of LOCATION@3 .
This also advertises BookCrossing and creates more members .,This also promotes BookCrossing and creates more members .
"PERSON@1 as Dr. PERSON@2 : PERSON@3 is a scientist working at ORGANIZATION@1 on the mutant cure , which was created with the DNA of Leech .",PERSON@1 as Dr. PERSON@2 : PERSON@3 is a scientist working at ORGANIZATION@1 on the mutant cure .
Fairly complex circuitry is needed to convert from one ordering to the other and maintain a logical ordering of the output ; the processor itself runs the instructions in seemingly random order .,Fairly complex circuitry is needed to convert from one ordering to the other and maintain a logical ordering of the output ; the processor itself runs the instructions which seems as if in random order .
"He published 26 novels , notably The Good Companions -LRB- 1929 -RRB- , as well as numerous dramas such as An Inspector Calls .",He published 26 novels . His best-known works include The Good Companions -LRB- 1929 -RRB- and An Inspector Calls -LRB- 1946 -RRB- .
"Founded in 1776 , it claims to be the oldest continuously-operated inn located in the United States .","The inn was started in 1776 , and says it is one of the oldest inns within the United States ."
"Although the coroner , Mr. Swallow , determines the boy 's death to be accidental and clears Grimes without a proper trial , he advises Grimes not to get another apprentice .","However , he says to Grimes that he should not get another apprentice . Grimes is very angry at being told this ."
"Trains operate on the Swanage Railway between Swanage and Norden Park & Ride every weekend and Bank Holiday from mid-February to the end of the year , and every day of the week from April to October ; with Santa Special services in December .","Trains operate on the Swanage Railway between Swanage and Norden Park & Ride every weekend and Bank Holiday from mid-February to the end of the year . From April to October , they operate all seven days in the week ; with Santa Special services in December ."
"PERSON@1 '' El Burrito '' PERSON@2 -LRB- born March NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is an Argentine football attacking midfielder , who plays for LOCATION@3 .","PERSON@3 -LRB- born NUMBER@1 March , NUMBER@2 -RRB- is an Argentine football player ."
"His term as president ended on June 10 , 1967 .","He finished his term as president on June 10 , 1967 ."
"The Mac Pro is the fastest computer that ORGANIZATION@1 offers and one of three desktop computers in the current Macintosh lineup , the other two being the iMac and Mac mini .",There are two other computers sold by ORGANIZATION@1 that are also called '' desktop '' computers . They are the iMac and Mac mini .
PERSON@1 became the first of the original members to withdraw from the league when it did so in NUMBER@1 .,PERSON@1 became the first of the original members to leave the league when it did so in NUMBER@1 .
Å 1\/2 eljko Kalac -LRB- ; born 16 December 1972 -RRB- is a retired Australian football goalkeeper .,Å 1\/2 eljko Kalac -LRB- born 16 December 1972 -RRB- is an Australian football player .
"Several important cultural achievements were made in the decade , including publication of Roger Bacon 's important scientific work Opus Majus and Thomas Aquinas ' Summa contra Gentiles .",Several important cultural achievements were made in the decade . Roger Bacon published important scientific work named Opus Majus .
Disney 's Hollywood Studios is a theme park at the Walt Disney World Resort .,"Disney 's Hollywood Studios is a theme park at the Walt Disney World Resort near Orlando , Florida , United States ."
Tresses is a commune in the Gironde department in Aquitaine in south-western France .,Tresses is a commune . It is found in the region Aquitaine in the Gironde department in the southwest of France .
"He and his third wife , PERSON@1 , have a son , PERSON@2 , a classical singer and conductor .","He now lives with his third wife , PERSON@1 ."
"A '' handkerchief '' or '' hanky '' primarily refers to a napkin made of cloth , used to dab away perspiration , clear the nostrils , or , in Victorian times , as a means of flirtation .","A '' handkerchief '' primarily refers to a napkin made of cloth , used to maintain personal hygiene ."
PERSON@1 -LRB- born NUMBER@1 January NUMBER@2 in LOCATION@1 -RRB- is a Swiss football -LRB- soccer -RRB- player who plays as a midfielder for ORGANIZATION@1 .,PERSON@2 -LRB- born NUMBER@1 January NUMBER@2 -RRB- is a Swiss football player .
"History Loir-et-Cher is one of the original 83 departments created during the French Revolution on March 4 , 1790 .",It is one of the 83 original French departments created during the French revolution .
Rolling stock is also allocated an RA -LRB- again between 1 and 10 -RRB- and the RA of a train is the highest RA of any of its elements .,Rolling stock is also given an RA -LRB- again between 1 and 10 -RRB- and the RA of a train is the highest RA of any of the supporting elements .
"Allusions are also sometimes made to his use of roundhouse kicks to perform seemingly any task , his large amount of body hair with specific regard to his beard , and his role in the action television series Walker , Texas Ranger .","The '' facts '' often refer to his use of roundhouse kick attacks to do almost anything , his beard , and his role in the action television series Walker , Texas Ranger ."
"Cross-platform transfer to the North South Line is provided at LOCATION@1 , ORGANIZATION@1 and Raffles Place stations while transfer to the LOCATION@2 at LOCATION@3 station is possible via a linkway .",Transfering to the North South Line is done at LOCATION@4 and Raffles Place stations while transfer to the LOCATION@2 at LOCATION@3 station is possible using a linkway .
"Each guru added to and reinforced the message taught by the previous , resulting in the creation of the Sikh religion .","Each guru added to and reinforced the message taught by the previous , and this resulted in the creation of the Sikh religion ."
"During the regular season , no player reached the 100-point plateau - the first time this had happened in a non-lockout season since the NUMBER@1 ORGANIZATION@1 season .","During the regular season , no player reached the 100-point plateau - the first time this had happened in a non-lockout season since NUMBER@1 ."
"PERSON@1 's Dream Land , known as PERSON@2 no KÄ bÄ '' in LOCATION@1 , is a NUMBER@1 platforming video game developed by ORGANIZATION@1 and published by ORGANIZATION@2 for the Game Boy handheld video game console .","PERSON@1 's Dream Land , called ORGANIZATION@3 in LOCATION@1 , is a platform video game made by ORGANIZATION@4 and published by ORGANIZATION@2 for the Game Boy ."
"In NUMBER@1 , PERSON@1 scored in three consecutive internationals , with goals against LOCATION@1 and LOCATION@2 , before netting twice against LOCATION@3 .","In NUMBER@1 , PERSON@1 scored in three consecutive internationals , with goals against LOCATION@1 , LOCATION@2 and LOCATION@3 ."
"The size or length of an instruction varies widely , from as little as four bits in some microcontrollers to many hundreds of bits in some ORGANIZATION@1 systems .","The size or length of an instruction varies widely , from as little as 4-bits in some microcontrollers to many as multiples of a bytes in some very long instruction word -LRB- ORGANIZATION@1 -RRB- systems ."
"PERSON@1 as Thunderbolt : The famous TV wonder-dog , a handsome German Shepard .","Thunderbolt The famous TV wonder-dog , a handsome German PERSON@2 ."
"The ORGANIZATION@1 -LRB- NHA -RRB- -LRB- officially the ORGANIZATION@2 -RRB- was a professional ice hockey organization with teams in LOCATION@1 and LOCATION@2 , LOCATION@3 .","The ORGANIZATION@1 -LRB- December NUMBER@1 , NUMBER@2 - December NUMBER@3 , NUMBER@4 -RRB- was a professional ice hockey league with teams in LOCATION@1 and LOCATION@2 , LOCATION@3 ."
"A separate scale is used for jazz/classical music videos : sales exceeding NUMBER@1 , NUMBER@2 , and NUMBER@3 for Gold , Platinum , and Diamond awards respectively .","A separate scale is used for jazz , classical , and world music albums : sales exceeding NUMBER@4 and NUMBER@5 for Gold and Platinum awards respectively ."
"In this simple example we use the English alphabet of 26 characters from a-z . Thus we can not encrypt numbers , commas , spaces and other symbols .","In this simple example we will use only the English alphabet of 26 characters from a-z , therefore we will not encrypt numbers , commas , spaces and other symbols ."
Wind and lake wind advisories were posted in parts of LOCATION@1 .,A wind advisory was sent out for parts of LOCATION@1 .
"PERSON@1 became head coach at LOCATION@1 in NUMBER@1 , leading the team to undefeated seasons that year and the next .","After the NUMBER@2 season , PERSON@1 became an assistant coach at the ORGANIZATION@1 . He became head coach there in NUMBER@1 ."
"It is made up of the constituent countries of England , Scotland , and Wales -LRB- together known as Great Britain -RRB- , and Northern Ireland -LRB- on the island of Ireland -RRB- .","It is made up of the seperate countries of England , Scotland , and Wales -LRB- together known as Great Britain -RRB- , and Northern Ireland -LRB- on the island of Ireland -RRB- ."
"The younger sister of professional tennis players PERSON@1 and PERSON@2 , she was born in LOCATION@1 , LOCATION@2 , then part of the LOCATION@3 .","The younger sister of PERSON@2 , she was born in LOCATION@1 , LOCATION@2 , then part of the LOCATION@3 ."
"PERSON@1 -LRB- NUMBER@1 September NUMBER@2 NUMBER@3 January NUMBER@4 -RRB- , ORGANIZATION@1 politician and ninth Prime Minister of LOCATION@1 .",PERSON@1 -LRB- NUMBER@1 September NUMBER@2 -- NUMBER@3 January NUMBER@4 -RRB- was the ninth Prime Minister of LOCATION@1 from October NUMBER@5 until January NUMBER@6 .
"Atmospheric nuclear explosions are associated with mushroom clouds , although mushroom clouds can occur with large chemical explosions , and it is possible to have an air-burst nuclear explosion without these clouds .","Atmospheric nuclear explosions are associated with mushroom clouds , although mushroom clouds can occur as a result of large chemical explosions . It is also possible to have an air-burst nuclear explosion without these clouds ."
"PERSON@1 -LRB- born PERSON@2 , October NUMBER@1 , NUMBER@2 , Ia i & ndash ; August NUMBER@3 , NUMBER@4 , LOCATION@1 -RRB- was a Romanian-born Austrian Jewish violinist .","PERSON@1 -LRB- October NUMBER@1 , NUMBER@2 -- August NUMBER@3 , NUMBER@4 -RRB- was a famous violinist ."
The river was known as Alutus or Aluta in Roman antiquity .,The river was known as Alutus or Aluta in Roman times .
"Each year , one of the seven Councillors is elected by the ORGANIZATION@1 as President of the Confederation .","Each year , one of the seven Councillors is elected by the ORGANIZATION@2 as President of the Confederation ."
"The linear thermal expansion can only be defined for solids , and is common in engineering applications .",The linear thermal expansion can only be measured in the solid state and is common in engineering applications .
The JavaScript virtual machine was considered a sufficiently important project to be split off -LRB- as was Adobe\/Mozilla 's Tamarin -RRB- and handled by a separate team in Denmark coordinated by Lars Bak at Aarhus .,; JavaScript The Javascript virtual machine was considered a sufficiently important project to be split off -LRB- like Adobe\/Mozilla 's Tamarin -RRB- and handled by a dedicated team in Denmark .
"The track was laid out in the parking lot of the ORGANIZATION@1 hotel and was surprisingly well set up for a temporary circuit : wide enough for overtaking , it provided ample run-off areas filled with sand , and had a surface that was as smooth as glass .","It was surprisingly well set up for a temporary circuit . It was wide enough for passing , provided ample run-off areas filled with sand , and had a surface that was as smooth as glass ."
"When Subtropical Storm Vince formed on October 8 , it was the earliest in the season that the twenty-first tropical or subtropical storm had ever developed , 38 days ahead of the previous record held by Tropical Storm 21 of the 1933 season .","When Subtropical Storm Vince formed on October 8 , it was the earliest ever in the season that the twenty-first tropical or subtropical storm had developed , 38 days ahead of the previous record held by Tropical Storm 21 from 1933 ."
"The specialized scales along both sides of the throat , neck , and head form many narrow spines which run down the side of the body to the tail .","They have special scales that look like spikes on the sides of their body , throats , necks , and heads ."
"It features the singles '' Heaven Knows '' , '' Like the Angel '' , and '' Black Masks and Gasoline '' as well as a cover of Journey 's single , '' Any Way You Want It '' .","It has the singles '' Heaven Knows '' and '' Like the Angel '' as well as a cover of Journeys single , '' Any Way You Want It . ''"
PERSON@1 and PERSON@2 were involved in the main rivalry on the Raw brand over the World Heavyweight Championship .,"The main rivalry on the Raw brand was between PERSON@1 and PERSON@2 , with the two fighting over the World Heavyweight Championship ."
"It has a population of 1,402 residents who live in a number of '' settlement areas '' on the northern tip of the island : Flying Fish Cove -LRB- also known as Kampong -RRB- , Silver City , Poon Saan , and Drumsite .","About 1,600 people live on Christmas Island , mostly in a number of '' settlement areas '' on the north of the island : Flying Fish Cove -LRB- also known as Kampong -RRB- Settlement Silver City Poon Saan Drumsite ."
"In the first episode Michelle has convinced one of her best friends , Cassie Ainsworth , to take friend Sid 's virginity , at her boyfriend Tony 's request .","Michelle is aware that Sid Jenkins , her boyfriend Tony 's best friend , is in love with her , and tries to help by setting Sid up with her friend Cassie Ainsworth ."
"At the age of five , PERSON@1 was rescued from the burning rectory .","At the age of five , PERSON@2 was rescued from the burning rectory ."
"If true , this would imply that there are no odd perfect numbers .","If true , this would mean that there are no odd perfect numbers ."
Alfred Wilhelm Franz Maria Hugenberg -LRB- 19 June 1865 - 12 March 1951 -RRB- was an influential German businessman and politician .,"Alfred Wilhelm Franz Maria Hugenberg -LRB- June 19 , 1865 in Kükenbruch - March 12 , 1951 in Kükenbruch -RRB- was a German businessman and politican ."
Chavignon is a commune in the Aisne department in Picardy in northern France .,Chavignon is a commune . It is found in the region Picardie in the Aisne department in the north of France .
"Many species live most of their lives as single cells , while other species form colonies , coenobia , long filaments , or highly differentiated macroscopic seaweeds .","Many species live most of their lives as single-cells , other species form colonies or long filaments ."
"The system tracked west-northwestward , and by August 10 consisted of a broad surface trough with minimal shower activity .","The system moved west-northwestward , and by August 10 , the system had a broad surface trough with a little shower activity ."
PERSON@1 -LRB- born NUMBER@1 May NUMBER@2 -RRB- is a former Brazilian-Japanese footballer .,PERSON@1 -LRB- born NUMBER@1 May NUMBER@2 -RRB- is a former Brazilian-Japanese football player .
"Dunham was born Stanley Ann Dunham and nicknamed Anna , later known as Dr. Stanley Ann Dunham Soetoro , and finally Ann Dunham Sutoro .","She was born Stanley Ann Dunham in Fort Leavenworth , Kansas and later known as Dr. S. Ann Dunham Soetoro ."
"The hypothesis suggests that the speakers of the Proto-Indo-European language -LRB- PIE -RRB- lived in Anatolia during the Neolithic era , and associates the distribution of historical Indo-European languages with the expansion during the Neolithic revolution during the seventh and sixth millennia BC .","The Anatolian hypothesis of Proto-Indo-European origin is that the speakers of the Proto-Indo-European language lived in Anatolia during the Neolithic era . When the Neolithic Revolution took place in the seventh and sixth millennia BC , the speakers spread over Europe ."
"For a variety of reasons , including that they were not elected via Shura and suggestions of impious behaviour , the Umayyad dynasty was not universally supported within the Muslim community .","Largely due to the fact that they were not elected via Shura , the Umayyad dynasty was not universally supported within the Muslim community ."
"PERSON@1 -LRB- ; , transliterated as LOCATION@1 ; , PERSON@1 ; also , LOCATION@2 -RRB- is a town in the disputed region of LOCATION@3 in the LOCATION@4 .",PERSON@1 also known as LOCATION@1 is a town in the region of LOCATION@3 .
Its name is Portuguese for '' Saint PERSON@1 '' .,Its name is Portuguese for '' Saint PERSON@1 . ''
It is named after the mineral aquamarine .,It is named for the gemstone aquamarine .
"Beginning in the 2009 NFL season , Green will serve as a color analyst on regional NFL games for the Fox network , as well as a studio analyst for the NFL Total Access show on the NFL Network .","He retired on June 12 , 2009 and is currently serving as a color analyst on the regional NFL games for the Fox network and also as a studio analyst for the NFL Total Access show on the NFL Network ."
"Charizard have two wings that are blue , while the back is orange , as with the most of its body .","Charizard are orange dragon-like PokÃ mon that have two wings , that are blue on the front , and orange on the back ."
"Jason White -LRB- born November 11 , 1973 in Little Rock , Arkansas -RRB- is an American guitarist who has played in various punk rock bands .","Jason White -LRB- born November 11 , 1973 in Little Rock , Arkansas -RRB- is a U.S. guitarist who has played in many punk rock bands ."
"Her daughter IrÃ ne PERSON@1 and son-in-law , FrÃ dÃ ric PERSON@1 , also shared a Nobel prize .","Her husband , PERSON@2 , daughter , IrÃ ne PERSON@1 , and son-in-law , FrÃ dÃ ric PERSON@1 , also won Nobel Prizes ."
