,source_sentence,simplified_sentence
137867,"Continuing into the Edo period , the style focused increasingly on the humor aspects of stand-up , and various regions of Japan developed their own unique styles of manzai , such as Owari manzai , Mikawa manzai , and Yamato manzai .","Manzai developed nationally . For example Owari , Mikawa and Yamato Manzai came to fame ."
128946,"January 2 -- Pope John II succeeds Pope Boniface II , who had died in 532 , as the 56th pope .","January 2 - John II becomes Pope , succeeding Pope Boniface II , who had died in 532 ."
31264,"Around 2006 , Pot Noodle 's recipe was changed to make the product healthier .",Pot Noodle
57081,Piss Christ is a 1987 photograph by photographer Andres Serrano .,Th Court did not agree with him and did not stop it .
288537,The game features over 20 rides and over 30 minigames .,Minigames
19083,The first performance of the revised version of his Enigma Variations - the version usually performed - took place at the cathedral during the 1899 Three Choirs Festival .,The first performance of his Enigma Variations took place at the cathedral during the 1899 festival .
259843,"As the League of Nations decreed , the region was to remain separated from the nation of Germany , as well as the newly-resurrected nation of Poland .",After Germanys defeat in 1945 Danzig was occupied and annexed by Poland under the Polish name Gda sk .
426040,"In most countries , defacing property with graffiti without the property owner 's consent is considered vandalism , which is punishable by law .",When done without a property owner 's permission it is considered vandalism .
793,"As people get older , some will lose this ability to adjust the focus .","As some people get older , they might not be as able to do this ."
310797,"Eastern Orthodoxy typically views the purely doctrinal canons as dogmatic and applicable to the entire church at all times , while the disciplinary canons apply to a particular time and place and may or may not be applicable in other situations .","ORGANIZATION@1 , -LRB-/O553/O-RRB-"
136908,"Division , in relational algebra","Divisions , a type of variation form used in the baroque ."
246080,"A quantum mechanical system or particle that is bound , confined spatially , can only take on certain discrete values of energy .",Crystalline Materials
86818,Berlancourt is a commune in the department of Aisne in Picardy in northern France .,"Berlancourt , Aisne is a commune ."
551903,It was ground as a seasoning for meat or used in sauces .,It was used in sauces .
489213,"Some jurisdictions outlaw the act of prostitution -LRB- the exchange of sexual services for money -RRB- ; other countries do not prohibit prostitution itself , but ban the activities typically associated with it -LRB- soliciting in a public place , operating a brothel , pimping etc. -RRB- , making it difficult to engage in prostitution without breaking any law ; while in a few countries prostitution is legal and regulated .",Many countries have laws about prostitution . Some countries have made prostitution illegal .
498597,"A person who skateboards is most often referred to as a skateboarder , or colloquially within the skateboarding community , a skater .",A person who skateboards is most often referred to a skateboarder .
465297,"The Province of PERSON@1 is a province of LOCATION@1 , located in the western central part of the country in the Cuyo region .","PERSON@1 is a Province of LOCATION@1 , located in the region called LOCATION@2 ."
405541,You are putting off what God wants you to do or not doing it at all,You are delaying what God wants you to do or not doing it at all
187735,"In the Epistle to the Romans -LRB- c. 56-57 -RRB- , Harris , Stephen L. , Understanding the Bible .","Stephen L Harris | Harris , Stephen L. , Understanding the Bible ."
302937,"After the Second World War , ORGANIZATION@1 used the configuration in their first model , the ORGANIZATION@2 NUMBER@1 , in NUMBER@2 .","After the World War II , ORGANIZATION@1 used the configuration in their first model , the ORGANIZATION@2 NUMBER@1 , in NUMBER@2 ."
270559,"For example , you create a -LRB- template -RRB- page in Wikipedia with your home mailing address and then include that template not only on your page , but all your friends ' pages , too .","For example , you might decide to create a -LRB- template -RRB- page with your mailing address and include that template on not only your page , but all your friends ' pages , too ."
42522,Sweetwater Wind Farm is one of the largest wind farms in Texas .,Sweetwater Wind Farm is the second largest wind farm in Texas .
538344,At first the ORGANIZATION@1 was mostly concerned with the trading and commercial problems of the co-op movement .,At first the ORGANIZATION@1 was mostly concerned with the problems of the co-op movement .
295514,"As winner of the Chess World Cup 2009 , Gelfand will be automatically seeded into the World Chess Championship 2011 Candidates Tournament .","Gelfand won the Chess World Cup 2009 , and is automatically seeded into the Candidates tournament for the World Chess Championship 2011 ."
469979,"PERSON@1 -LRB- March NUMBER@1 , NUMBER@2 - July NUMBER@3 , NUMBER@4 -RRB- was an Italian football player and coach .","PERSON@1 -LRB- born NUMBER@1 March , NUMBER@2 -RRB- is a former Italian football player ."
589528,The Pegnitz is a small river in LOCATION@1 in the German federal state of LOCATION@2 .,"The river is inhabited by numerous ducks , swans , and gulls ."
391515,"Shortly , the scene shifts to PERSON@1 's 56th birthday on April NUMBER@1 , NUMBER@2 .",PERSON@2 as PERSON@3
306555,"Young was once quoted as saying , '' Some may have thought it was essential to know how to curve a ball before anything else .",PERSON@1 said : '' Some may have thought it was essential to know how to curve a ball before anything else .
591691,"Nomenclature can refer to a system of names or terms , or the rules used for forming the names , as used by an individual or community , especially those used in a particular science -LRB- scientific nomenclature -RRB- or art .",Nomenclature may mean a set or system of names or terms used by one person or by a community .
336117,"NUMBER@1 January NUMBER@2 is a large arid to semi-arid sandy area in LOCATION@1 extending , covering much of LOCATION@2 and parts of LOCATION@3 and LOCATION@4 , as semi-desert , with huge tracts of excellent grazing after good rains .",LOCATION@3
72897,Athletes with disabilities did compete in the Olympic Games prior to the advent of the Paralympics .,Athletes with disabilities did compete in the Olympic Games before the creation of the Paralympics .
392409,grow -LRB- mitachondrian uses oxygen for growth -RRB-,grows -LRB- mitachondrian uses oxygen for growth -RRB-
9095,"José Perácio Berjun , also known as José Perácio -LRB- born in Nova Lima , November 2 , 1917 dead in Rio de Janeiro , March 10 , 1977 -RRB- was a Brazilian footballer in striker role .","José Perácio -LRB- born 2 November , 1917 -RRB- is a former Brazilian football player ."
422614,The trio toured LOCATION@1 twice and made plans to tour LOCATION@2 in the winter of NUMBER@1 .,The trio toured LOCATION@1 twice and there were plans to tour LOCATION@2 in the winter of NUMBER@1 .
492851,The '' West '' course is made up of the other part of the full circuit .,"The '' West '' course is made up of the other part of the full circuit , with the pit stop located at the straight before the NUMBER@1 corner ."
574109,"NUMBER@1 & ndash ; PERSON@1 , British scientist and author -LRB- d. NUMBER@2 -RRB-","NUMBER@3 - PERSON@2 , actress"
324305,"PERSON@1 -LRB- born August NUMBER@1 , NUMBER@2 -RRB- is a women 's ice hockey player from LOCATION@1 .",Other websites
47821,"Edward the Martyr was assassinated at the site on March 18 , 978 .","Edward the Martyr was killed at the site on March 18 , 978 ."
499132,"The show 's soundtrack also contained other songs by Queen , including '' We Will Rock You , '' We Are the Champions '' and '' Bohemian Rhapsody '' .","Three of their greatest hits were We Will Rock You , We Are the Champions and Bohemian Rhapsody ."
361582,"Because of this , PERSON@1 is somewhere between NUMBER@1 and NUMBER@2 Native American .",He is between NUMBER@1 and NUMBER@2 Native American .
162995,"Famous brands include ` Parma Violets ' , ` Refresher ' chews , ` Drumstick ' lollies and - perhaps most famously - Love Hearts .","Famous brands include Parma Violets , Refresher chews , Drumstick lollies and - perhaps most famously - Love Hearts"
497098,"International recognition came in NUMBER@1 , when she starred as PERSON@1 in PERSON@2 's film PERSON@3 of the Thousand Days , opposite PERSON@4 .","International recognition came in NUMBER@1 , when she portrayed PERSON@1 in PERSON@2 's film PERSON@3 of the Thousand Days , opposite PERSON@4 's PERSON@5 ."
249625,Portland Trail Blazers -LRB- 2006 -- present -RRB-,He plays for the Portland Trail Blazers .
185375,"Overview Java Virtual Machines operate on Java bytecode , which is normally -LRB- but not necessarily -RRB- generated from Java source code ; a JVM can also be used to implement programming languages other than Java .","Java Virtual Machines operate on Java bytecode , which is normally -LRB- but not necessarily -RRB- generated from Java source code ; a JVM can also be used to implement programming languages other than Java ."
310146,"As a result , many former apparatchiks abandoned the ORGANIZATION@1 in favor of positions in new government structures .","As a result , many former ORGANIZATION@2 personnel left ORGANIZATION@2 to join the new positions in the new Russian government ."
263651,"The Monster of Glamis The most famous legend connected with the castle is that of the Monster of Glamis , a hideously deformed child born to the family .",Tayside Village Walks The most famous legend is that of the Monster of Glamis .
526254,"Saale-Holzland -LRB- official German name Saale-Holzland-Kreis -RRB- is a PERSON@1 -LRB- district -RRB- in the east of LOCATION@1 , LOCATION@2 .",Official -LRB- German -RRB-
309246,"On the other hand , organizations such as ORGANIZATION@1 maintain that psychiatrists exaggerate the evidence of medication and minimize the evidence of adverse drug reaction .",Organizations such as ORGANIZATION@2 and ORGANIZATION@3 and Survivors of Psychiatry claim that psychiatrists misrepresent the evidence about the effects of drugs .
62828,"FNB Stadium , known as Soccer City during the 2010 FIFA World Cup , is a stadium located in Nasrec , the Soweto area of Johannesburg , South Africa .","Soccer City is a sports stadium in Johannesburg , South Africa ."
411499,LOCATION@1 .,This was not long after the death of his wife .
501903,"Prior to its inception as the capital city , the title had alternated between the cities of LeÃ n and LOCATION@1 .","Before NUMBER@1 , LeÃ n and LOCATION@1 were the capital cities ."
150937,It is still debated whether Hazaragi should be considered a separate language -LRB- Ethnologue considers it so -RRB- or a dialect of Persian -LRB- Farsi -RRB- .,It is easily distinguishable from other Persian dialects or languages spoken in Afghanistan .
567018,"The Royal Proclamation of NUMBER@1 was issued October NUMBER@2 , NUMBER@1 , by PERSON@1 following LOCATION@1 's acquisition of French territory in LOCATION@2 after the end of the French and Indian War\/Seven Years ' War .","The Royal Proclamation of NUMBER@1 was issued October NUMBER@2 , NUMBER@1 , by PERSON@1 after LOCATION@1 gained French territory in LOCATION@2 after the end of the French and Indian War\/Seven Years ' War ."
246995,"Vancouver Whitecaps FC is a Canadian professional soccer team based in Vancouver , British Columbia , Canada .",Vancouver Whitecaps FC is a soccer club which plays in Canada .
564985,"Theia 's mythological role as the mother of the Moon goddess PERSON@1 is alluded to in the application of the name to a hypothetical planet which , according to the giant impact hypothesis , collided with the LOCATION@1 , resulting in the PERSON@2 's creation .",She was also considered the moons eyes because PERSON@1 was her daughter and PERSON@1 was the goddess of the moon .
492772,"PERSON@1 often rotates with PERSON@2 as PERSON@3 ' other sidekick , PERSON@4 ever looking for a way to make a quick dinar .","PERSON@1 often rotates with PERSON@2 as PERSON@3 ' other sidekick , PERSON@4 ."
278622,"Because an early copy of the album appeared on the New York Times website , Colour It In became available to download exclusively from iTunes on 16 December , before its physical release on 14 May , in an effort to combat the leak .","Because the album had been leaked , or accidentally put , on the internet , Colour It In became available to download exclusively from iTunes on 17 April before its release on 14 May ."
264519,Campbell 's body was recovered from the lake on 28 May 2001 and he was interred in Coniston cemetery on 12 September 2001 .,He was buried on 12th September 2001 in Coniston cemetery .
101760,Physical custody involves the day-to-day care of a child and establishes where a child will live .,Physical custody means : who looks after the child from day to day . It is about where a child will live .
175527,"April 12 & ndash ; Vsevolod the Big Nest , Grand Prince of Vladimir -LRB- b. 1154 -RRB-","April 12 - Vsevolod the Big Nest , Grand Prince of Vladimir -LRB- born 1154 -RRB-"
233480,"To finance more loans , McNamara told bank treasurer Eugene Rotberg to seek out new sources of capital outside of the northern banks that had been the primary sources of bank funding .","To give out more loans , McNamara told bank treasurer Eugene Rotberg to find new sources of money , because the northern banks that had lent out the money did not have enough ."
93314,IRC Server Request FAQ It is distinct from an IRC bot that connects outbound to an IRC channel .,IRC
377737,"Open clusters become disrupted over time by the gravitational influence of giant molecular clouds as they move through the galaxy , but cluster members will continue to move in broadly the same direction through space even though they are no longer gravitationally bound ; they are then known as a stellar association , sometimes also referred to as a moving group .",References
286000,Chicago White Stockings -LRB- -RRB-,He was teased and taunted at and was called a '' sissy '' for wearing what was one of the first baseball gloves ever worn .
391799,Everyone is upset because PERSON@1 did nothing to help PERSON@2 .,Everyone 's upset because PERSON@3 did nothing to help PERSON@2 .
531165,Other related non-orientable objects include the Möbius strip and the real projective plane .,A
592759,"Chemist Sir PERSON@1 , then eighteen , was attempting to create artificial quinine .","In NUMBER@1 , an eighteen year old Chemist PERSON@1 was trying to make artificial quinine ."
447428,ICONS - a portrait of LOCATION@1 .,"I will not cease from Mental Fight ,"
479705,"Terrorists tried to force the release of PERSON@1 and ten other imprisoned ORGANIZATION@1 members by kidnapping PERSON@2 on NUMBER@1 September NUMBER@2 , as part of the sequence of events known as the '' German Autumn '' , which began on NUMBER@3 July NUMBER@2 with the murder of the banker PERSON@3 .",PERSON@2 was kidnapped on NUMBER@1 September NUMBER@2 and ORGANIZATION@2 Flight NUMBER@4 was hijacked in mid-October to try to force the release of PERSON@1 and ten other ORGANIZATION@1 members .
230473,"On the March 25 , 2002 episode of Raw , Vince McMahon won a coin toss to determine who would receive the first draft selection .","On the March 18 , 2002 episode of RAW , Vince McMahon won a coin toss to determine who would receive the first draft selection ."
158699,"Salzburger Nachrichten -- Tourism site maintained by the local newspaper , Salzburger Nachrichten .","Visit Salzburg - Local information Salzburger Nachrichten -- Tourism site maintained by the local newspaper , Salzburger Nachrichten ."
335508,"The term cell growth is used in the contexts of cell development and cell division -LRB- reproduction -RRB- When used in the context of cell division , it refers to growth of cell populations , where one cell -LRB- the '' mother cell '' -RRB- grows and divides to produce two '' daughter cells '' .",Cell reproduction
208854,"Julia , her sister Margaret , and her father joined a presidential excursion on the new steam frigate Princeton .","In 1843 , Julia , her sister , and their father joined the President Tyler on a tour on a steam naval ship ."
150599,"Lucius Aurelius Verus -LRB- 15 December 130 â '' 169 -RRB- , born as Lucius Ceionius Commodus , known simply as Lucius Verus , was Roman co-emperor with Marcus Aurelius -LRB- 121 â '' 180 -RRB- , from 161 until his death .","Lucius Verus -LRB- Lucius Ceionius Commodus , 15 December 130 â '' 169 -RRB- was Roman co-emperor with Marcus Aurelius -LRB- 121 â '' 180 -RRB- , from 161 until his death ."
382256,The term Peace of LOCATION@1 denotes a series of peace treaties signed between May and October of NUMBER@1 in LOCATION@2 and Münster .,Results
179311,"January 28 & ndash ; In Hollywood , California , the charity single '' We Are the World '' is recorded by USA for Africa .",'' We Are the World '' -- USA for Africa
172508,The first episode of the BBC television series Doctor Who is broadcast in the United Kingdom .,Doctor Who airs for the first time in the United Kingdom .
228051,"At the end , Mysterio performed a 619 on Orton followed by a West Coast Pop for a successful pinfall victory .","Angle kicked out of an RKO by Orton and a West Coast Pop by Mysterio . At the end , Mysterio went on to hit Orton a 619 followed by a West Coast Pop pinfall victory ."
196789,"In 1942 , Gene Roddenberry married Eileen Rexroat .","Roddenberry was married twice and had three children . He married Eileen Rexroat first , and they were married for 27 years ."
128275,"The Incheon International Airport Railroad link to Gimpo International Airport -LRB- and Seoul Subway Line 5 , Line 9 -RRB- opened on 23 March 2007 , with a further extension to Seoul Station due for completion in 2010 .","Incheon International Airport first opened on March 29th , 2001 ."
581384,"PERSON@1 is about NUMBER@1 kilometres in diameter , and orbits Saturn at an average distance of 18,168.3 Mm in NUMBER@2 days , at an inclination of NUMBER@3 ° to the ecliptic -LRB- NUMBER@4 ° to ORGANIZATION@1 's equator -RRB- , in a retrograde direction and with an eccentricity of NUMBER@5 .","PERSON@1 is about NUMBER@1 kilometres in diameter , and orbits Saturn at an average distance of NUMBER@6 km in NUMBER@2 days , at an inclination of NUMBER@3 ° to the ecliptic -LRB- NUMBER@4 ° to ORGANIZATION@1 's equator -RRB- , with an eccentricity of NUMBER@5 ."
533343,"After NUMBER@1 minutes in the sky , he shot several balloons , and then accidentally dropped his pellet gun overboard .","After NUMBER@1 minutes in the sky , he shot several balloons . Then he accidentally dropped his pellet gun ."
78148,She was voted # 45 on FHM-US and FHM-Australia 's 100 Sexiest Women in 2000 .,She was voted # 45 on FHM-US and FHM-Australia 's 100 Sexiest Women in .
46372,The first purely alphabetic script is thought to have been developed around 1850 BCE for Semitic workers in the Sinai but giving mostly Egyptian glyphs Semitic values .,The first purely alphabetic script is thought to have been developed around 2000 BCE for Semitic workers in central Egypt .
36785,2001 NASCAR Winston Cup Rookie of the Year,"Kevin Michael Harvick -LRB- born December 8 , 1975 -RRB- is an American racecar driver ."
446674,Cretaceous period is devided to early Cretaceous and late Cretacoues .,Cretaceous period is divided into early Cretaceous and late Cretacoues .
119306,Ferques is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,Ferques is a commune .
247595,"The Iglesia ni Cristo -LRB- ; Tagalog for Church of Christ ; also known as INC , or Iglesia , is the largest entirely indigenous Christian religious organization that originated from the PhilippinesSanders , Albert J. , '' An Appraisal of the Iglesia ni Cristo , '' in Studies in Philippine Church History , ed .","Sanders , Albert J. , '' An Appraisal of the Iglesia ni Cristo , '' in Studies in Philippine Church History , ed ."
71977,"Several families of the city built patrician villas there , like those of the Medici in Cafaggiolo and the Trebbio .","Several families of the city built there partician villas , like those of the Medici in Cafaggiolo and the Trebbio ."
167797,NP-complete can also be used as an adjective : problems in the class NP-complete are known as NP-complete problems .,"In the article he showed that each of these problems can be changed to a different problem , which is known to be NP-complete ."
229336,"At the 2001 World Championships , she became the first woman to land a triple salchow-triple loop-double toe loop combination and won the silver medal .",World Championships : first place in 2002 and 2005
535069,LOCATION@1 has a well-developed public transportation system ; NUMBER@1 % of the population take public transport to work .,LOCATION@1 has a public transportation system .
255358,"The power plant is a 40 MW solar power system using state-of-the-art thin film technology , and was fully operational by the end of 2008 .",It is in the Muldentalkreis district in the state of Saxony in eastern Germany .
480180,"At the Immunity Challenge , PERSON@1 's broken ankle was to much to bear as he bailed himself out from the challenge .","At the Immunity Challenge , PERSON@1 's broken ankle was to much to handle and he quit the challenge ."
32431,"As a result Kramnik became the first undisputed World Champion , holding both the FIDE and Classical titles , since Kasparov split from FIDE in 1993 .","As a result Kramnik became the first undisputed World Champion , since Garry Kasparov split from FIDE in 1993 ."
326768,Infection generally occurs through wound contamination and often involves a cut or deep puncture wound .,"Infection generally occurs through wound contamination , and often involves a cut or deep puncture wound ."
428,"Caribert -LRB- also spelled Charibert and Heribert -RRB- , Count of Laon , son of Martin of Laon , was the maternal grandfather of Charlemagne .","Caribert of Laon , son of Martin of Laon , was the grandfather of Charlemagne ."
522651,"The tree line , like many other natural lines -LRB- lake boundaries , for example -RRB- , appears well-defined from a distance , but upon sufficiently close inspection , it is a gradual transition .","The tree line , like many other natural lines -LRB- lake boundaries , for example -RRB- , appears well-defined from a distance , but upon close inspection , it is not that clear ."
424797,V leni River -LRB- Mure -RRB- - tributary of the Mure River,V leni - tributary of the Mure River
477892,"Casper is the only city in and the county seat of LOCATION@1 , LOCATION@2 , LOCATION@3 .",It is located in LOCATION@1 .
133417,National Red Cross and Red Crescent Societies exist in nearly every country in the world .,There is a Red Cross and Red Crescent society in nearly every country in the world .
236412,"Based on the DC Comics character Batman , the film is part of Nolan 's Batman film series and a sequel to 2005 's Batman Begins .",It is the sequel to the 2005 movie Batman Begins .
254298,"Mikael '' Micke '' Nilsson -LRB- born 24 June 1978 in Ovesholm -RRB- is a Swedish footballer Wingback and Midfielder , who plays for Brøndby IF .",He plays for Brøndby and Sweden national team .
36948,"Scholastic Media is a production company that produces such shows like Clifford the Big Red Dog , Clifford 's Puppy Days , Goosebumps , T \* Witches ; and films like The Golden Compass and Tuck Everlasting .",Clifford the Big Red Dog -LRB- series -RRB-
369017,"PERSON@1 's ideas were considered dangerously radical and his bishop sent him into a sort of internal exile to a small mountain village north of LOCATION@1 called LOCATION@2 , thought too remote for him to cause problems .","For his radical ideas , PERSON@1 was sent by his bishop into a sort of ` exile ' in LOCATION@3 ."
121810,"Instead of summers and winters , there is a dry season in the beginning of the year , followed by a wet season with high rainfall .","Instead of summers and winters , there is a dry season in the beginning of the year , followed by a wet season with a lot of rain ."
105351,"The series was broadcast in 26 episodes from 2 April 2002 to 24 September 2002 across Japan , East Asia , and Southeast Asia by the anime satellite television network , Animax and the terrestrial Tokyo Broadcasting System network .","The anime has 26 episodes and was broadcast across East Asia and Southeast Asia by the anime television network , Animax ."
437079,"The first known written reference to LOCATION@1 is in the brief information given in Twenty-Four Histories , a collection of Chinese historical texts , in the 1st century AD .","In the history of LOCATION@1 , the period from the mid-3rd century till around NUMBER@1 is known as the ORGANIZATION@1 period ."
380643,LOCATION@1 is an inlet along LOCATION@2 's LOCATION@3 .,LOCATION@1 is an along LOCATION@4 .
255274,"In 2007 , a classifieds section , articles and news briefs were added .","In 2007 , classifieds were added . Articles and news briefs were also added ."
383696,Heavyweights is about a fat camp for kids that is taken over by a fitness guru named PERSON@1 -LRB- PERSON@2 -RRB- .,Heavyweights is about a fat camp for kids that is taken over by fitness expert PERSON@1 -LRB- PERSON@2 -RRB- .
500918,To share a resource -LRB- such as food or money -RRB- is to make joint use of it ; see sharing .,"Sharing -LRB- or '' To Share '' -RRB- ; to make joint use of resources -LRB- such as food or money -RRB- , or to '' give something away ''"
164218,"The son of William Blessed , a socialist miner , and Hilda Wall , Blessed was born in the town of Goldthorpe near Mexborough in Yorkshire , England .","He is the son of William Blessed , a socialist miner , and Hilda Wall . He was born in the village of Goldthorpe near Mexborough in Yorkshire , England ."
89888,"South Waziristan is the southern part of Waziristan , a mountainous region of northwest Pakistan , bordering Afghanistan and covering some 11,585 kmÂ -LRB- 4,473 miÂ -RRB- .","South Waziristan -LRB- Pashto : Ø Ù Ù Ø Û Ù Ø Û Ø Ø Ø Ø Ù -RRB- is the southern part of Waziristan , a mountainous region of northwest Pakistan , bordering Afghanistan and covering some 11,585 kmÂ -LRB- 4,473 miÂ -RRB- ."
195672,Hungary 's Government of National Unity -LRB- 1944 & ndash ; 1945 -RRB- - The pro-Nazi régime of Prime Minister Ferenc Szálasi supported by the Arrow Cross Party was a German puppet régime .,Hungary
349536,"Other publications , such as Popular Mechanics , Scientific American , and The Times-Picayune gave doomsday scenarios in which a sinking city would drown and its residents would be left homeless .","Other publications , such as Popular Mechanics , , Scientific American , and The ORGANIZATION@1 predicted doomsday situations in which a sinking city would drown and its residents would be left homeless ."
362424,Basket stars usually confined to the deeper parts of this range .,Basket stars usually live in the deeper parts of the range .
114579,Guru or Bhagat Ravidas -LRB- also Raidas -RRB- was a north Indian Sant mystic of the bhakti movement who was active in the 15th century CE .,"Ravidas , also spelt as Raidas , was an Indian saint of 15th century ."
305669,PERSON@1 is a commune in the Calvados department in the LOCATION@1 region in northern LOCATION@2 .,It is found in the region Basse-Normandie in the Calvados department in the northwest of LOCATION@2 .
445179,"For example , the zeroth law states that if two bodies are in thermal equilibrium with a third body , they are also in thermal equilibrium with each other .",Zeroth law of thermodynamics
366376,AlignBars = justify,bar NUMBER@1 text NUMBER@1
588338,"The contaminated soil and sediment continue to affect the citizens of LOCATION@1 , poisoning their food chain and causing illnesses , serious skin diseases as well as a variety of cancers in the lungs , larynx , and prostate .",Dioxins can cause cancer .
204345,Disney 's Hollywood Studios is a theme park at the Walt Disney World Resort .,"Disney 's Hollywood Studios is a theme park at the Walt Disney World Resort near Orlando , Florida , United States ."
45811,"Besides counts of fruit , addition can also represent combining other physical and abstract quantities using different kinds of numbers : negative numbers , fractions , irrational numbers , vectors , decimals and more .","In arithmetic , addition is finding the total of two or more numbers ."
53630,"Afterward , Finlay intimidated Cole , warning him to refer to Little Bastard as '' Hornswoggle . ''","Afterwards , Finlay told Cole that Little Bastard 's name is Hornswoggle ."
273835,One estimate of THC 's LD50 for humans indicates that about 1500 pounds -LRB- 680 kilograms -RRB- of cannabis would have to be smoked within 14 minutes .,It is almost impossible to overdose with as you would have to smoke 1500 pounds -LRB- 680 kilograms -RRB- of cannabis within 15 minutes .
116439,He won the Nobel Prize in Physics in 2006 for his work on COBE with John C. Mather that led to the measurement '' of the black body form and anisotropy of the cosmic microwave background radiation . '',COBE
85984,The only derailment of a Shinkansen train in passenger service occurred during the ChÅ '' etsu Earthquake on 23 October 2004 .,"The first derailment of a Shinkansen train in passenger service occurred during the Chuetsu Earthquake on October 23 , 2004 ."
448419,Development may refer to :,"Business development , a process of growing a business"
34990,"Malcolm Charles Barber -LRB- born March 4 , 1943 -RRB- is a British scholar of medieval history , described as the world 's leading living expert on the Knights Templar .","Barber was a Professor of Medieval European History in the Faculty of Arts and Humanities at the University of Reading in the UK , until his retirement in September 2004 ."
99755,Alternatives RISC was developed as an alternative to what is now known as CISC .,RISC was developed as an alternative to what is now known as CISC .
292586,June & ndash ; The Second Crusade reaches Jerusalem .,Events
253721,It is the brother school of the City of London School for Girls -LRB- a girls ' school within the City -RRB- and the co-educational City of London Freemen 's School -LRB- a day and boarding school in Surrey -RRB- .,Most boys enter the school at 11 and fewer enter at 10 and 13 .
73134,"Pollard assumed that the hand would just ride Lightning Bar around and show him off , but he later discovered that more was involved .",Pollard assumed that the employee would just ride Lightning Bar around and show him off . Pollard later discovered that more was involved .
32468,"A hammer and sickle survives in a frame on the wall , a source of some controversy .",A hammer and sickle survives in a frame on the wall .
171595,The use of lead for potable water declined sharply after World War II because of the dangers of lead poisoning .,Most places stopped using lead for drinking water after World War II because of the dangers of lead poisoning .
10758,Anglade is a commune of the Gironde department in south-western France .,It is found in the region Aquitaine in the Gironde department in the southwest of France .
21888,Pistosaurus longaevus is an extinct genus of aquatic sauropterygian reptile closely related to plesiosaurs .,Pistosaurus longaevus is a genus of aquatic sauropterygian reptile belonging to the plesiosaur order .
444988,LOCATION@1 or LOCATION@2 -LRB- ; ; ; ; -RRB- is the southernmost canton of LOCATION@3 .,LOCATION@1 or LOCATION@2 -LRB- -LSB- -RSB- ; French and German : Tessin -LSB- -RSB- and -LSB- -RSB- -RRB- is the southernmost canton of LOCATION@3 .
452573,Year NUMBER@1 -LRB- MCCCXCVI -RRB- was a leap year starting on Saturday -LRB- link will display the full calendar -RRB- of the Julian calendar .,Events of NUMBER@1
452749,This concise chart shows the most common applications of the International Phonetic Alphabet -LRB- IPA -RRB- to represent English language pronunciations .,This is the International Phonetic Alphabet chart for English .
557294,"Windows NUMBER@1 can not , however , be upgraded to Windows Me .","Windows NUMBER@1 and Windows Me are similar in looks , but Windows Me has features that families find useful , while Windows NUMBER@1 was meant for businesses ."
104236,"McIntosh , Alabama",The Scottish Clan MacKintosh
52148,"Palak , one of the 51 Union Councils of Abbottabad District in the North-West Frontier Province of Pakistan",Palak may refer to :
406736,The location of oases has been of critical importance for trade and transportation routes in desert areas .,The knowledge of the location of oases has been important for trade and transportation routes in desert areas .
200386,They are very agile climbers and have bushy tails .,They have bushy tails .
167267,"Usually , the female panda gives birth to one or two panda cubs .","In August or September , the female gives birth to 1-2 babies ."
464333,"The arrondissement of ORGANIZATION@1 is an arrondissement of LOCATION@1 , located in the Calvados dÃ partement , in the Basse-Normandie rÃ gion .","The arrondissement of ORGANIZATION@1 is an arrondissement of LOCATION@1 , located in the department of Calvados , in a region called Basse-Normandie ."
536804,Radio NUMBER@1 's Live Lounge is a collection of live tracks played on PERSON@1 's Radio NUMBER@1 show .,Other pages
267255,Barzy-en-Thiérache is a commune in the department of Aisne in Picardie in northern France .,It is found in the region Picardie in the Aisne department in the north of France .
322505,"In the province , there are six municipalities -LRB- municipios -RRB- and seven municipal districts -LRB- distrito municipal -RRB- within them .",There are six municipalities and seven municipal districts in the province .
54024,Pay-per-view -LRB- often abbreviated PPV -RRB- offers a system by which a television audience can purchase events to view on TV-monitors via private telecast of that event to their homes .,Pay-per-view -LRB- often abbreviated PPV -RRB- is a way that people can pay to watch events on television in their homes .
571657,"ORGANIZATION@1 is an independent record label located in LOCATION@1 , LOCATION@2 .",ORGANIZATION@1 is a London-based independent record label .
372105,"PERSON@1 , PERSON@2 , PC -LRB- born NUMBER@1 October NUMBER@2 -RRB- is a British ORGANIZATION@1 politician who was the Member of ORGANIZATION@2 -LRB- MP -RRB- for ORGANIZATION@3 from NUMBER@3 to NUMBER@4 , served in a number of Cabinet positions under both PERSON@3 and PERSON@4 , and was a European Commissioner .","Lord PERSON@5 , PERSON@1 , -LRB- born NUMBER@1 October NUMBER@2 -RRB- is a British politician for the ORGANIZATION@1 . He helped to found the so-called ` New Labor ' with PERSON@3 and PERSON@4 ."
133389,Marizy-Sainte-Geneviève is a commune in the Aisne department in Picardie in northern France .,It is found in the region Picardie in the Aisne department in the north of France .
141025,The deeper color shown at right -LRB- color # 8E4585 -RRB- is the color traditionally regarded as plum because it is a close representation of the average color of the plum fruit .,Other pages
310516,Metzgeriales -LRB- simple thalloids -RRB-,"Their stalked sporophytes -LRB- diploid -RRB- are very short-lived , withering away soon after releasing spores ."
